model_a,model_b,n,n_matched,brier_a,brier_b,delta_brier_a_minus_b,ci_lo_95,ci_hi_95,frac_a_wins,ci_covers_zero,match_mode
M1_DC,M5_market_preclose,1520,1519,0.6009022244264006,0.5732119764757803,0.02769024795062036,0.019233835945074447,0.035514885055054235,0.0,False,inner_join_dhaway
M2_Elo,M5_market_preclose,1520,1519,0.6201422618203605,0.5732119764757803,0.046930285344580214,0.03506038142197612,0.05830508222994931,0.0,False,inner_join_dhaway
M3_LGBM_dmwd,M5_market_preclose,1520,1519,0.591556670143516,0.5732119764757803,0.018344693667735723,0.01030884924627029,0.026073841392918597,0.0,False,inner_join_dhaway
M4_LGBM,M5_market_preclose,1520,1519,0.5941914881526107,0.5732119764757803,0.02097951167683043,0.012623863328199255,0.02919941590429375,0.0,False,inner_join_dhaway
M6_market_elo_blend,M5_market_preclose,1519,1519,0.5732119764757803,0.5732119764757803,0.0,0.0,0.0,0.0,True,identical_index
M7_market_residual,M5_market_preclose,1519,1519,0.6142731999240538,0.5732119764757803,0.041061223448273565,0.028815300160625716,0.05379548124086145,0.0,False,identical_index
M1_DC,M2_Elo,1520,1520,0.6008997212868546,0.6200718862795033,-0.01917216499264862,-0.031345779815401834,-0.006231330460128788,0.997,False,identical_index
M1_DC,M3_LGBM_dmwd,1520,1520,0.6008997212868546,0.5918187985587922,0.00908092272806249,-0.00044592666309788696,0.018295102475741447,0.03,True,identical_index
M1_DC,M4_LGBM,1520,1520,0.6008997212868546,0.5944359923603181,0.006463728926536572,-0.0026738734661049092,0.015331245245080375,0.089,True,identical_index
M2_Elo,M3_LGBM_dmwd,1520,1520,0.6200718862795033,0.5918187985587922,0.028253087720711112,0.014755832261801823,0.040593892502662085,0.0,False,identical_index
M2_Elo,M4_LGBM,1520,1520,0.6200718862795033,0.5944359923603181,0.025635893919185193,0.012074623667176964,0.03767565216866096,0.0,False,identical_index
M3_LGBM_dmwd,M4_LGBM,1520,1520,0.5918187985587922,0.5944359923603181,-0.002617193801525919,-0.004668724314649814,-0.0006618878906586389,0.996,False,identical_index
M6_market_elo_blend,M7_market_residual,1519,1519,0.5732119764757803,0.6142731999240538,-0.041061223448273565,-0.053795481240861455,-0.02881530016062572,1.0,False,identical_index
