outer,alpha,train_brier
2021,0.0,0.610752025325
2021,0.1,0.603378399874
2021,0.2,0.596715571096
2021,0.3,0.590763538993
2021,0.4,0.585522303563
2021,0.5,0.580991864806
2021,0.6,0.577172222724
2021,0.7,0.574063377315
2021,0.8,0.571665328579
2021,0.9,0.569978076517
2021,1.0,0.569001621129
2122,0.0,0.602545753333
2122,0.1,0.594994061547
2122,0.2,0.588168921771
2122,0.3,0.582070334006
2122,0.4,0.576698298251
2122,0.5,0.572052814506
2122,0.6,0.568133882772
2122,0.7,0.564941503047
2122,0.8,0.562475675333
2122,0.9,0.56073639963
2122,1.0,0.559723675936
2223,0.0,0.61200544706
2223,0.1,0.604258003888
2223,0.2,0.597223881134
2223,0.3,0.590903078795
2223,0.4,0.585295596872
2223,0.5,0.580401435366
2223,0.6,0.576220594276
2223,0.7,0.572753073602
2223,0.8,0.569998873345
2223,0.9,0.567957993503
2223,1.0,0.566630434078
2324,0.0,0.614079780281
2324,0.1,0.606540390232
2324,0.2,0.599723206739
2324,0.3,0.593628229801
2324,0.4,0.588255459419
2324,0.5,0.583604895593
2324,0.6,0.579676538323
2324,0.7,0.576470387609
2324,0.8,0.57398644345
2324,0.9,0.572224705847
2324,1.0,0.5711851748
