outer_fold,earlier_seeds,brier_Bookmaker_avg_preclose,brier_Bookmaker_max_preclose,brier_Bet365_preclose,best_dev_brier_source,best_dev_brier_value,canonical_research_baseline_source
2021,"1819,1920",0.5690016211293074,0.5689747078647853,0.563851372403284,Bet365_preclose,0.563851372403284,Bookmaker_avg_preclose
2122,"1819,1920,2021",0.5597236759359532,0.5590285769638469,0.5593796581739119,Bookmaker_max_preclose,0.5590285769638469,Bookmaker_avg_preclose
2223,"1819,1920,2021,2122",0.5666304340780436,0.5661436789253195,0.5644813523293041,Bet365_preclose,0.5644813523293041,Bookmaker_avg_preclose
2324,"1819,1920,2021,2122,2223",0.5711851747996729,0.5707240018369109,0.568845125476194,Bet365_preclose,0.568845125476194,Bookmaker_avg_preclose
