,n,brier,brier_ci_lo,brier_ci_hi,logloss,ece
M1_DC,1520.0,0.6008997212868546,0.5846850721108356,0.6157234380714739,1.0047892121680457,0.02052223846586172
M2_Elo,1520.0,0.6200718862795033,0.5949507417367408,0.6429528267012178,1.0676779419704507,0.09764495217926379
M3_LGBM_dmwd,1520.0,0.5918187985587922,0.5752670405420891,0.606850941298876,0.995629488127706,0.03881348351162269
M4_LGBM,1520.0,0.5944359923603181,0.5779128458605068,0.6090005762840822,0.9989569300900671,0.043911673573736605
M5_market_preclose,1519.0,0.5732119764757803,0.5569886403874451,0.5885091851381101,0.9646308475811572,0.027653498444162247
M6_market_elo_blend,1519.0,0.5732119764757803,0.5569886403874451,0.5885091851381101,0.9646308475811572,0.027653498444162247
M7_market_residual,1519.0,0.6142731999240538,0.5946809615245091,0.6331785745975675,1.0379027674334906,0.052654834229594806
