outer_fold,earlier_seeds,brier_Bookmaker_avg_preclose,brier_Bookmaker_max_preclose,brier_Bet365_preclose,best_dev_brier_source,best_dev_brier_value,canonical_research_baseline_source
2021,"1819,1920",0.5750337075467311,0.5749788547030258,0.5485618932846795,Bet365_preclose,0.5485618932846795,Bookmaker_avg_preclose
2122,"1819,1920,2021",0.5859270064581059,0.5862359230174773,0.5651238836890458,Bet365_preclose,0.5651238836890458,Bookmaker_avg_preclose
2223,"1819,1920,2021,2122",0.5751799910721909,0.5753554871165323,0.5623410923455366,Bet365_preclose,0.5623410923455366,Bookmaker_avg_preclose
2324,"1819,1920,2021,2122,2223",0.5748035022184126,0.5749269775730798,0.5645725791991089,Bet365_preclose,0.5645725791991089,Bookmaker_avg_preclose
