outer,alpha,train_brier
2021,0.0,0.586018757355
2021,0.1,0.583327269168
2021,0.2,0.580989777249
2021,0.3,0.579006281598
2021,0.4,0.577376782215
2021,0.5,0.5761012791
2021,0.6,0.575179772253
2021,0.7,0.574612261675
2021,0.8,0.574398747364
2021,0.9,0.574539229321
2021,1.0,0.575033707547
2122,0.0,0.604830038227
2122,0.1,0.601206639004
2122,0.2,0.597968372237
2122,0.3,0.595115237924
2122,0.4,0.592647236065
2122,0.5,0.590564366661
2122,0.6,0.588866629711
2122,0.7,0.587554025216
2122,0.8,0.586626553176
2122,0.9,0.58608421359
2122,1.0,0.585927006458
2223,0.0,0.595221299654
2223,0.1,0.591639341901
2223,0.2,0.588408012347
2223,0.3,0.585527310992
2223,0.4,0.582997237835
2223,0.5,0.580817792877
2223,0.6,0.578988976119
2223,0.7,0.577510787559
2223,0.8,0.576383227198
2223,0.9,0.575606295035
2223,1.0,0.575179991072
2324,0.0,0.591404953485
2324,0.1,0.588304805357
2324,0.2,0.585524657895
2324,0.3,0.583064511101
2324,0.4,0.580924364974
2324,0.5,0.579104219513
2324,0.6,0.57760407472
2324,0.7,0.576423930594
2324,0.8,0.575563787135
2324,0.9,0.575023644343
2324,1.0,0.574803502218
