fold,n,brier_m1_dc,brier_m2_elo,logloss_m1_dc
1819,380,0.5529299263757569,0.5385849750091926,0.9368583598035832
1920,380,0.5998884382679622,0.6021660547845145,1.0048344248685708
2021,380,0.6230432901975137,0.636416560753837,1.0445249310335345
2122,380,0.5697254843362334,0.5899587298011746,0.9584918141056382
2223,380,0.6146347506730211,0.5969954622935127,1.0276522876950542
2324,380,0.5626309566229935,0.5601057929521343,0.9510869165618548
