model_a,model_b,n,brier_a,brier_b,delta_brier_a_minus_b,ci_lo_95,ci_hi_95,frac_a_wins,ci_covers_zero
M1_DC,M5_market_preclose,1520,0.5925086204574405,0.5643245805975093,0.02818403985993112,0.018962638884706805,0.03710790883121698,0.0,False
M2_Elo,M5_market_preclose,1520,0.5958691364501647,0.5643245805975093,0.031544555852655365,0.021906309232276995,0.04207958436087707,0.0,False
M3_LGBM_dmwd,M5_market_preclose,1520,0.5938526488296938,0.5643245805975093,0.029528068232184457,0.021520178726455723,0.03757536444173148,0.0,False
M4_LGBM,M5_market_preclose,1520,0.5946928194712032,0.5643245805975093,0.030368238873693887,0.02260909777263536,0.03843732666562922,0.0,False
M6_market_elo_blend,M5_market_preclose,1520,0.5643946247925908,0.5643245805975093,7.004419508149784e-05,-0.000473279439993482,0.0006260961062749758,0.397,True
M7_market_residual,M5_market_preclose,1520,0.6239323890009308,0.5643245805975093,0.0596078084034215,0.046537599621762495,0.0719338585237723,0.0,False
M1_DC,M2_Elo,1520,0.5925086204574405,0.5958691364501647,-0.0033605159927242445,-0.016458851516871112,0.00878065392115026,0.736,True
M1_DC,M3_LGBM_dmwd,1520,0.5925086204574405,0.5938526488296938,-0.0013440283722533364,-0.010040387800096398,0.0075189197280097755,0.638,True
M1_DC,M4_LGBM,1520,0.5925086204574405,0.5946928194712032,-0.0021841990137627665,-0.010774013388503038,0.006651101615893927,0.698,True
M1_DC,M6_market_elo_blend,1520,0.5925086204574405,0.5643946247925908,0.028113995664849623,0.01884375213931206,0.036978151988013144,0.0,False
M1_DC,M7_market_residual,1520,0.5925086204574405,0.6239323890009308,-0.03142376854349038,-0.04521694759038279,-0.01792965039695034,1.0,False
M2_Elo,M3_LGBM_dmwd,1520,0.5958691364501647,0.5938526488296938,0.002016487620470908,-0.007549307593539262,0.013437746610733336,0.323,True
M2_Elo,M4_LGBM,1520,0.5958691364501647,0.5946928194712032,0.001176316978961478,-0.008533294155526904,0.012413734157086354,0.382,True
M2_Elo,M6_market_elo_blend,1520,0.5958691364501647,0.5643946247925908,0.03147451165757387,0.022345355368183557,0.04170504388107519,0.0,False
M2_Elo,M7_market_residual,1520,0.5958691364501647,0.6239323890009308,-0.028063252550766138,-0.04487309884362477,-0.010871099289470743,0.999,False
M3_LGBM_dmwd,M4_LGBM,1520,0.5938526488296938,0.5946928194712032,-0.0008401706415094301,-0.0023714161254572512,0.0006817752466078325,0.864,True
M3_LGBM_dmwd,M6_market_elo_blend,1520,0.5938526488296938,0.5643946247925908,0.02945802403710296,0.021629256287927317,0.037337096587209705,0.0,False
M3_LGBM_dmwd,M7_market_residual,1520,0.5938526488296938,0.6239323890009308,-0.030079740171237046,-0.04293581308011999,-0.017744064713778825,1.0,False
M4_LGBM,M6_market_elo_blend,1520,0.5946928194712032,0.5643946247925908,0.03029819467861239,0.022656580730721354,0.03834479535539938,0.0,False
M4_LGBM,M7_market_residual,1520,0.5946928194712032,0.6239323890009308,-0.029239569529727616,-0.0423411092578008,-0.017262561493061854,1.0,False
M6_market_elo_blend,M7_market_residual,1520,0.5643946247925908,0.6239323890009308,-0.059537764208340005,-0.07204011622137751,-0.04667443597117258,1.0,False
