,n,brier,brier_ci_lo,brier_ci_hi,logloss,ece
M1_DC,1520.0,0.5925086204574405,0.577426653698232,0.6090743371451169,0.9954389873490207,0.02360792455042064
M2_Elo,1520.0,0.5958691364501647,0.5745567411571109,0.6189505281326003,1.0181398624931675,0.06827936391021089
M3_LGBM_dmwd,1520.0,0.5938526488296938,0.5784386666173174,0.6097188241682305,1.000411636140487,0.025669015724635175
M4_LGBM,1520.0,0.5946928194712032,0.5790650133351041,0.6108782498074538,1.0013110008056343,0.02403712248500009
M5_market_preclose,1520.0,0.5643245805975093,0.5482298088654826,0.5823070434724853,0.9538088824038994,0.020643285541383335
M6_market_elo_blend,1520.0,0.5643946247925908,0.5483099502286825,0.5827345624762806,0.9538249083192583,0.019056889456822435
M7_market_residual,1520.0,0.6239323890009308,0.6062747632870594,0.6435118918086472,1.0704906101507874,0.04883067018060471
