fold,n,brier_m1_dc,brier_m2_elo,logloss_m1_dc
1819,380,0.6453102703000753,0.6600064766811574,1.074103724930406
1920,279,0.6068523814450996,0.6215258900653857,1.010917799120421
2021,380,0.6268230974307314,0.6452175953099174,1.0441171609225888
2122,380,0.6196892185303728,0.638901987299782,1.029401708769992
2223,380,0.6169589061910074,0.6100902561495223,1.0335603584356554
2324,306,0.6214051949393218,0.6583148729863684,1.0355038035838664
