,n,brier,brier_ci_lo,brier_ci_hi,logloss,ece
M1_DC,1446.0,0.6212095809607434,0.6062028589335074,0.6370280264704495,1.0356530225348497,0.02745277988628078
M2_Elo,1446.0,0.6370982640818348,0.6137055443796796,0.6598401627555109,1.0772101530845097,0.09389904621926033
M3_LGBM_dmwd,1446.0,0.6264565598534605,0.6124244624620228,0.6404792785180087,1.0427869926484588,0.041392894060570846
M4_LGBM,1446.0,0.6287030750287823,0.6133139675066641,0.6441254754367831,1.047377619971794,0.04700836873497067
M5_market_preclose,1446.0,0.5937486876120429,0.578180378616874,0.6097456264194766,0.9948692702897616,0.021823066651681527
M6_market_elo_blend,1446.0,0.5941155278406697,0.5784999764727563,0.6101577476670894,0.9953474300410953,0.024029194209473814
M7_market_residual,1446.0,0.6339901623409144,0.6172344462796719,0.6506254023927717,1.0707826968758667,0.04829064076268869
