model_a,model_b,n,brier_a,brier_b,delta_brier_a_minus_b,ci_lo_95,ci_hi_95,frac_a_wins,ci_covers_zero
M1_DC,M5_market_preclose,1446,0.6212095809607434,0.5937486876120429,0.0274608933487005,0.018810827392803202,0.035911740326745656,0.0,False
M2_Elo,M5_market_preclose,1446,0.6370982640818348,0.5937486876120429,0.04334957646979187,0.03218199949248809,0.053402828297237616,0.0,False
M3_LGBM_dmwd,M5_market_preclose,1446,0.6264565598534605,0.5937486876120429,0.03270787224141758,0.023950015129744574,0.04135560623328179,0.0,False
M4_LGBM,M5_market_preclose,1446,0.6287030750287823,0.5937486876120429,0.034954387416739396,0.026419032189645565,0.043674960963221314,0.0,False
M6_market_elo_blend,M5_market_preclose,1446,0.5941155278406697,0.5937486876120429,0.0003668402286267636,-0.00019772545053493572,0.0009538161011008459,0.096,True
M7_market_residual,M5_market_preclose,1446,0.6339901623409144,0.5937486876120429,0.04024147472887152,0.028213573713642286,0.05326452880949025,0.0,False
M1_DC,M2_Elo,1446,0.6212095809607434,0.6370982640818348,-0.015888683121091374,-0.028293954545512753,-0.0028797819750889055,0.993,False
M1_DC,M3_LGBM_dmwd,1446,0.6212095809607434,0.6264565598534605,-0.00524697889271708,-0.014068701782979953,0.0033908168506291527,0.893,True
M1_DC,M4_LGBM,1446,0.6212095809607434,0.6287030750287823,-0.007493494068038897,-0.016565336238823752,0.0014023889943681532,0.948,True
M1_DC,M6_market_elo_blend,1446,0.6212095809607434,0.5941155278406697,0.027094053120073736,0.018399886870801685,0.03538331414177241,0.0,False
M1_DC,M7_market_residual,1446,0.6212095809607434,0.6339901623409144,-0.012780581380171019,-0.02724208507511964,0.001094552101447317,0.955,True
M2_Elo,M3_LGBM_dmwd,1446,0.6370982640818348,0.6264565598534605,0.010641704228374294,-0.001183780015238425,0.02130074030953781,0.045,True
M2_Elo,M4_LGBM,1446,0.6370982640818348,0.6287030750287823,0.008395189053052476,-0.0033346422869838213,0.019474533224773976,0.084,True
M2_Elo,M6_market_elo_blend,1446,0.6370982640818348,0.5941155278406697,0.04298273624116511,0.03217543396833645,0.05265547006573304,0.0,False
M2_Elo,M7_market_residual,1446,0.6370982640818348,0.6339901623409144,0.003108101740920355,-0.015422723878144173,0.02019706358686501,0.375,True
M3_LGBM_dmwd,M4_LGBM,1446,0.6264565598534605,0.6287030750287823,-0.002246515175321817,-0.005625788291383907,0.0013199268091292453,0.891,True
M3_LGBM_dmwd,M6_market_elo_blend,1446,0.6264565598534605,0.5941155278406697,0.032341032012790816,0.023545882360395575,0.04085399941708961,0.0,False
M3_LGBM_dmwd,M7_market_residual,1446,0.6264565598534605,0.6339901623409144,-0.007533602487453939,-0.02116291655856235,0.006213316090335887,0.862,True
M4_LGBM,M6_market_elo_blend,1446,0.6287030750287823,0.5941155278406697,0.03458754718811263,0.026124718107331663,0.04328462944992952,0.0,False
M4_LGBM,M7_market_residual,1446,0.6287030750287823,0.6339901623409144,-0.005287087312132122,-0.020228957988317475,0.008394992871313602,0.766,True
M6_market_elo_blend,M7_market_residual,1446,0.5941155278406697,0.6339901623409144,-0.039874634500244754,-0.053185086404664406,-0.02782744387917576,1.0,False
