outer,alpha,train_brier
2021,0.0,0.621525890065
2021,0.1,0.615138662434
2021,0.2,0.609517642534
2021,0.3,0.604662830364
2021,0.4,0.600574225925
2021,0.5,0.597251829217
2021,0.6,0.594695640239
2021,0.7,0.592905658992
2021,0.8,0.591881885476
2021,0.9,0.59162431969
2021,1.0,0.592132961635
2122,0.0,0.6351872679
2122,0.1,0.627465246628
2122,0.2,0.62053571771
2122,0.3,0.614398681146
2122,0.4,0.609054136936
2122,0.5,0.604502085079
2122,0.6,0.600742525576
2122,0.7,0.597775458427
2122,0.8,0.595600883632
2122,0.9,0.59421880119
2122,1.0,0.593629211102
2223,0.0,0.636545875573
2223,0.1,0.629059022318
2223,0.2,0.622313223949
2223,0.3,0.616308480465
2223,0.4,0.611044791866
2223,0.5,0.606522158153
2223,0.6,0.602740579324
2223,0.7,0.599700055381
2223,0.8,0.597400586324
2223,0.9,0.595842172151
2223,1.0,0.595024812864
2324,0.0,0.629461213571
2324,0.1,0.6222827394
2324,0.2,0.615823880209
2324,0.3,0.610084635997
2324,0.4,0.605065006765
2324,0.5,0.600764992512
2324,0.6,0.597184593239
2324,0.7,0.594323808945
2324,0.8,0.59218263963
2324,0.9,0.590761085295
2324,1.0,0.590059145939
