model_a,model_b,n,brier_a,brier_b,delta_brier_a_minus_b,ci_lo_95,ci_hi_95,frac_a_wins,ci_covers_zero
M1_DC,M5_market_preclose,1224,0.6059269314011436,0.5822254854702447,0.023701445930898957,0.013505471213165707,0.03283028436555432,0.0,False
M2_Elo,M5_market_preclose,1224,0.6188876579423984,0.5822254854702447,0.03666217247215375,0.0251932282050845,0.0479423507932668,0.0,False
M3_LGBM_dmwd,M5_market_preclose,1224,0.6017145374914362,0.5822254854702447,0.019489052021191555,0.009480090290944588,0.029125012578285585,0.0,False
M4_LGBM,M5_market_preclose,1224,0.6026461336914815,0.5822254854702447,0.020420648221236792,0.01027798967557751,0.029802042145121867,0.0,False
M6_market_elo_blend,M5_market_preclose,1224,0.5822254854702447,0.5822254854702447,0.0,0.0,0.0,0.0,True
M7_market_residual,M5_market_preclose,1224,0.6308884432093944,0.5822254854702447,0.04866295773914975,0.03558571145857448,0.06277816950189272,0.0,False
M1_DC,M2_Elo,1224,0.6059269314011436,0.6188876579423984,-0.012960726541254797,-0.026099548479328487,0.0008627259338992138,0.966,True
M1_DC,M3_LGBM_dmwd,1224,0.6059269314011436,0.6017145374914362,0.0042123939097074015,-0.005687412185912963,0.013998310234855564,0.192,True
M1_DC,M4_LGBM,1224,0.6059269314011436,0.6026461336914815,0.0032807977096621643,-0.005955258519935299,0.013256875051989771,0.249,True
M1_DC,M6_market_elo_blend,1224,0.6059269314011436,0.5822254854702447,0.023701445930898957,0.013505471213165707,0.03283028436555432,0.0,False
M1_DC,M7_market_residual,1224,0.6059269314011436,0.6308884432093944,-0.02496151180825079,-0.04182443131829782,-0.010277906563379045,1.0,False
M2_Elo,M3_LGBM_dmwd,1224,0.6188876579423984,0.6017145374914362,0.017173120450962198,0.003960612619680878,0.03034137738065193,0.007,False
M2_Elo,M4_LGBM,1224,0.6188876579423984,0.6026461336914815,0.01624152425091696,0.003659667038343717,0.029251823063903313,0.008,False
M2_Elo,M6_market_elo_blend,1224,0.6188876579423984,0.5822254854702447,0.03666217247215375,0.0251932282050845,0.0479423507932668,0.0,False
M2_Elo,M7_market_residual,1224,0.6188876579423984,0.6308884432093944,-0.012000785266995995,-0.032669046934635,0.005423450122629012,0.882,True
M3_LGBM_dmwd,M4_LGBM,1224,0.6017145374914362,0.6026461336914815,-0.0009315962000452371,-0.0035491834317237653,0.0016782385895581949,0.737,True
M3_LGBM_dmwd,M6_market_elo_blend,1224,0.6017145374914362,0.5822254854702447,0.019489052021191555,0.009480090290944588,0.029125012578285585,0.0,False
M3_LGBM_dmwd,M7_market_residual,1224,0.6017145374914362,0.6308884432093944,-0.029173905717958193,-0.044510190713030286,-0.015017720962766,1.0,False
M4_LGBM,M6_market_elo_blend,1224,0.6026461336914815,0.5822254854702447,0.020420648221236792,0.01027798967557751,0.029802042145121867,0.0,False
M4_LGBM,M7_market_residual,1224,0.6026461336914815,0.6308884432093944,-0.028242309517912956,-0.0436851808198785,-0.013603282496326335,1.0,False
M6_market_elo_blend,M7_market_residual,1224,0.5822254854702447,0.6308884432093944,-0.04866295773914975,-0.06277816950189272,-0.03558571145857448,1.0,False
