fold,n,brier_m1_dc,brier_m2_elo,logloss_m1_dc
1819,306,0.6128755558525283,0.6032387935004111,1.025929913171281
1920,306,0.6171405259116594,0.6245949732995307,1.0287485120050206
2021,306,0.6181088477474053,0.6290965363635246,1.0304317034377266
2122,306,0.6114258071966258,0.6166708614610704,1.021888425718694
2223,306,0.5912432163466086,0.6169081286071086,0.9897604690812354
2324,306,0.6029298543139348,0.61287510533789,1.0086199952008545
