model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M1_DC,0.02,1017,0.038603736479842665,-0.0733611111111111,0.1624990167158308,True,-0.0476712857590723,-0.005708363662177773
M1_DC,0.03,970,0.036309278350515464,-0.08989484536082475,0.16201907216494843,True,-0.04794658267025101,-0.005975601399968433
M1_DC,0.04,924,0.030064935064935055,-0.09969642857142857,0.16347673160173154,True,-0.04761117154494486,-0.0056149214798908885
M1_DC,0.05,886,0.018498871331828422,-0.11633436794582394,0.1599305869074492,True,-0.04802104779349131,-0.006008385371228142
M1_DC,0.06,834,0.004700239808153454,-0.12976229016786572,0.1531552757793765,True,-0.048388883456478356,-0.006400880141845155
M1_DC,0.07,784,0.014974489795918361,-0.11958545918367348,0.15359980867346937,True,-0.04910757794479571,-0.007161351730484226
M1_DC,0.08,744,0.0031182795698924664,-0.14145665322580644,0.1641760752688171,True,-0.049012416397517806,-0.0070521841491750495
M1_DC,0.1,681,0.022143906020557973,-0.13419199706314244,0.17621696035242287,True,-0.05027231131958353,-0.008330611064333316
M2_Elo,0.02,1192,-0.0017365771812080568,-0.10202013422818791,0.0968489932885906,True,-0.04348132855557642,-0.0013418612221312663
M2_Elo,0.03,1183,-0.0019019442096365232,-0.10446830092983937,0.10604543533389682,True,-0.04329180029608391,-0.0011451994483170024
M2_Elo,0.04,1171,2.561912894962427e-05,-0.1009534585824082,0.11663108454312555,True,-0.043461478675469276,-0.0013005953355580057
M2_Elo,0.05,1156,0.004152249134948107,-0.10199437716262977,0.11174545847750857,True,-0.04329605345179386,-0.001123692505749407
M2_Elo,0.06,1138,0.006010544815465726,-0.10105821616871705,0.11704745166959578,True,-0.04347164168366936,-0.0013027005027368475
M2_Elo,0.07,1114,0.006373429084380608,-0.10048922800718131,0.12136826750448829,True,-0.04329887549350972,-0.0011098480335855713
M2_Elo,0.08,1092,0.0073992673992673945,-0.09973557692307694,0.1269626831501831,True,-0.04358394184015199,-0.0014260746586149404
M2_Elo,0.1,1048,0.020572519083969475,-0.09108730916030534,0.14111784351145037,True,-0.04369287772165977,-0.0015068868724351751
M3_LGBM_dmwd,0.02,1169,0.05189050470487596,-0.06993541488451668,0.16778999144568005,True,-0.04251106055346692,-0.00034013818612025276
M3_LGBM_dmwd,0.03,1152,0.0530642361111111,-0.07038802083333333,0.1736512586805555,True,-0.04268983366003345,-0.0005293826122769574
M3_LGBM_dmwd,0.04,1132,0.061678445229682,-0.055776722614841005,0.18907398409893994,True,-0.04255866541005938,-0.0003965090872071931
M3_LGBM_dmwd,0.05,1110,0.051171171171171155,-0.08288648648648649,0.18611846846846844,True,-0.04278621920665821,-0.0006335461977559602
M3_LGBM_dmwd,0.06,1086,0.05821362799263351,-0.05821915285451197,0.1884355432780847,True,-0.042294081044019036,-0.00013464533379552258
M3_LGBM_dmwd,0.07,1056,0.06309659090909091,-0.06944270833333333,0.20021803977272729,True,-0.042136610286332137,-1.2516824221456533e-05
M3_LGBM_dmwd,0.08,1024,0.07431640625000001,-0.04935864257812499,0.21445263671874998,True,-0.04219203227415924,-3.915134696910066e-05
M3_LGBM_dmwd,0.1,973,0.0755498458376156,-0.05839054470709146,0.215669578622816,True,-0.04216567117496051,-2.231338080202235e-05
M4_LGBM,0.02,1155,0.03147186147186148,-0.08405497835497835,0.14542575757575757,True,-0.04417370398043057,-0.0021051505663298303
M4_LGBM,0.03,1130,0.02471681415929203,-0.0826037610619469,0.14649800884955755,True,-0.043829029301335864,-0.0017417351521443313
M4_LGBM,0.04,1111,0.02972997299729972,-0.08523627362736273,0.1529475697569757,True,-0.043571622266567786,-0.0014837861283279665
M4_LGBM,0.05,1086,0.04131675874769797,-0.07809714548802947,0.1658453038674033,True,-0.04358506080094309,-0.0014908506400049947
M4_LGBM,0.06,1066,0.0421200750469043,-0.0854139305816135,0.1581578330206379,True,-0.04311396066609884,-0.0010128294717312624
M4_LGBM,0.07,1039,0.041944177093359,-0.08325240615976899,0.18124254090471603,True,-0.04244141253746462,-0.0003052817827142844
M4_LGBM,0.08,1012,0.04599802371541502,-0.08459165019762846,0.18051506916996046,True,-0.04280802329240601,-0.0006722257725608129
M4_LGBM,0.1,959,0.03906152241918666,-0.09756465067778934,0.18581777893639204,True,-0.043075118694565755,-0.000983388983358178
M7_market_residual,0.02,1181,-0.03066892464013549,-0.13285351397121084,0.08836176968670617,True,-0.0417995824860196,0.00042969947933069733
M7_market_residual,0.03,1172,-0.029240614334470998,-0.13756868600682592,0.0859872013651877,True,-0.04192349913294266,0.0003220227665648648
M7_market_residual,0.04,1157,-0.02996542783059638,-0.13605812445980983,0.08092242869490059,True,-0.041943817590060335,0.0003228937901778372
M7_market_residual,0.05,1145,-0.033318777292576415,-0.1466008733624454,0.07729104803493449,True,-0.04173287034372428,0.0005380298431863348
M7_market_residual,0.06,1131,-0.0435366931918656,-0.1533662687886826,0.06867948717948716,True,-0.04205544173030115,0.00021533356027053164
M7_market_residual,0.07,1109,-0.04347159603246165,-0.15740216411181243,0.07464990982867445,True,-0.04209936665857249,0.00018462612766312206
M7_market_residual,0.08,1086,-0.0417403314917127,-0.15767771639042358,0.07816022099447516,True,-0.042307824215539684,-3.296652479624067e-05
M7_market_residual,0.1,1045,-0.03151196172248803,-0.15159258373205742,0.1008765550239234,True,-0.04245862021439855,-0.00020389937969736413
