season,date,home_team,away_team,y,m4_p_away,m4_p_draw,m4_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-08-23,M'gladbach,Leverkusen,0,0.6500427183693798,0.07549948170652084,0.2744577999240993,5.33,4.58,1.6,4.94,4.38,1.67
2425,2024-08-24,Augsburg,Werder Bremen,1,0.4182554350436911,0.26962412587043816,0.3121204390858706,2.32,3.55,3.11,2.57,3.61,2.77
2425,2024-08-24,Dortmund,Ein Frankfurt,2,0.1570834101832696,0.1345157137061576,0.7084008761105728,1.71,4.4,4.48,1.75,4.19,4.58
2425,2024-08-24,Freiburg,Stuttgart,2,0.38664918566644796,0.28152490860410484,0.33182590572944715,3.5,3.7,2.09,3.73,3.99,1.96
2425,2024-08-24,Hoffenheim,Kiel,2,0.20889431607206976,0.1885156870615578,0.6025899968663724,1.64,4.38,5.07,1.61,4.68,5.05
2425,2024-08-24,Mainz,Union Berlin,1,0.1600223197820952,0.21156021728738958,0.6284174629305153,2.08,3.24,4.1,2.1,3.39,3.9
2425,2024-08-24,RB Leipzig,Bochum,2,0.07574100656958527,0.15023338295713154,0.7740256104732831,1.25,6.71,10.65,1.22,7.23,12.72
2425,2024-08-25,St Pauli,Heidenheim,0,0.3002045737614988,0.17279120848647916,0.527004217752022,2.13,3.5,3.59,2.02,3.49,4.06
2425,2024-08-25,Wolfsburg,Bayern Munich,0,0.5460202756505012,0.2535310202535103,0.20044870409598856,6.33,5.0,1.47,6.5,4.57,1.52
2425,2024-08-30,Union Berlin,St Pauli,2,0.20808220075763162,0.22437297352571522,0.5675448257166531,1.96,3.5,4.29,1.95,3.43,4.43
2425,2024-08-31,Bochum,M'gladbach,0,0.304787230620573,0.36531877277463054,0.32989399660479646,2.66,3.73,2.57,2.88,3.85,2.38
2425,2024-08-31,Ein Frankfurt,Hoffenheim,2,0.3020484183792648,0.258258246493272,0.4396933351274631,1.8,4.2,4.12,1.65,4.6,4.84
2425,2024-08-31,Kiel,Wolfsburg,0,0.2518184111128359,0.20217921666529742,0.5460023722218665,3.26,3.69,2.19,3.06,3.68,2.33
2425,2024-08-31,Leverkusen,RB Leipzig,0,0.24393199256911383,0.17334065460157805,0.5827273528293082,1.8,4.22,4.1,1.63,4.45,5.15
2425,2024-08-31,Stuttgart,Mainz,1,0.18710000132887383,0.19226566270350579,0.6206343359676204,1.66,4.23,5.09,1.67,4.21,4.97
2425,2024-08-31,Werder Bremen,Dortmund,1,0.4903298924467579,0.2411883414108173,0.2684817661424247,4.05,4.14,1.83,3.88,3.94,1.93
2425,2024-09-01,Bayern Munich,Freiburg,2,0.12242504321539342,0.16082807311344308,0.7167468836711635,1.21,7.89,11.45,1.19,8.1,13.69
2425,2024-09-01,Heidenheim,Augsburg,2,0.13508370309237464,0.25483452065394724,0.6100817762536782,2.42,3.47,3.02,2.42,3.49,3.05
2425,2024-09-13,Dortmund,Heidenheim,2,0.13988574119768293,0.11937357563415055,0.7407406831681664,1.39,5.35,7.83,1.34,5.7,8.67
2425,2024-09-14,Freiburg,Bochum,2,0.16813134902295057,0.23813229918847476,0.5937363517885746,1.69,4.08,4.9,1.58,4.41,5.8
2425,2024-09-14,Hoffenheim,Leverkusen,0,0.540536672448706,0.09514905410433136,0.3643142734469628,5.95,4.96,1.49,6.84,5.37,1.43
2425,2024-09-14,Kiel,Bayern Munich,0,0.6561373581533595,0.17148494742696882,0.17237769441967177,11.8,7.52,1.21,13.19,7.77,1.2
2425,2024-09-14,M'gladbach,Stuttgart,0,0.5280252595314048,0.21633826398549155,0.25563647648310367,2.84,3.96,2.31,2.7,3.86,2.51
2425,2024-09-14,RB Leipzig,Union Berlin,1,0.15705860940720473,0.17205921036945018,0.6708821802233451,1.48,4.69,6.64,1.49,4.8,6.62
2425,2024-09-14,Wolfsburg,Ein Frankfurt,0,0.28550053047366386,0.2917565845255229,0.4227428850008132,2.72,3.45,2.63,2.82,3.44,2.61
2425,2024-09-15,Augsburg,St Pauli,2,0.313121116830015,0.23139727557161022,0.4554816075983748,2.09,3.61,3.52,2.08,3.33,4.02
2425,2024-09-15,Mainz,Werder Bremen,0,0.1927476978978529,0.3316596693620366,0.47559263274011054,2.04,3.66,3.61,2.2,3.62,3.37
2425,2024-09-20,Augsburg,Mainz,0,0.455472887282833,0.22428486968540423,0.3202422430317627,2.42,3.6,2.97,2.41,3.53,3.03
2425,2024-09-21,Bochum,Kiel,1,0.2006228086100181,0.2840592817163585,0.5153179096736233,1.99,3.8,3.7,1.82,3.94,4.4
2425,2024-09-21,Ein Frankfurt,M'gladbach,2,0.1992769739559387,0.22565494985887422,0.5750680761851871,1.79,4.14,4.26,1.77,4.29,4.3
2425,2024-09-21,Heidenheim,Freiburg,0,0.25160510103306044,0.3397695684191919,0.4086253305477476,2.75,3.4,2.66,3.37,3.48,2.25
