model,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M1_DC_uncal,0.02,1110,1110,0.052117117117117126,-0.06278941441441441,0.1658716216216216,4.459135135135135,0.3639905087564296,-0.02079312112380828,-0.004677451940317937,38.50999999999998,0.3724481604595381,0.3117117117117117,0.06073644874782641,0.42252252252252254,0.22252252252252253,0.35495495495495494
M1_DC_uncal,0.03,1052,1052,0.04499049429657794,-0.07063711977186311,0.16569249049429657,4.540494296577947,0.38263409377168134,-0.021111796079345293,-0.005631602441016823,38.44999999999999,0.36945437678114995,0.30228136882129275,0.0671730079598572,0.42395437262357416,0.21387832699619772,0.36216730038022815
M1_DC_uncal,0.04,1022,1022,0.04301369863013698,-0.07588600782778865,0.1636631604696673,4.574099804305283,0.3928289633032786,-0.021201751959866254,-0.005817645029898448,46.83999999999999,0.3698952418243899,0.3013698630136986,0.06852537881069126,0.42857142857142855,0.20939334637964774,0.36203522504892366
M1_DC_uncal,0.05,976,976,0.03753073770491804,-0.08281045081967214,0.16196849385245896,4.645922131147541,0.4092220168013906,-0.02044989082831356,-0.005305119473950651,40.86999999999999,0.3685427404589861,0.29610655737704916,0.07243618308193694,0.4293032786885246,0.20081967213114754,0.3698770491803279
M1_DC_uncal,0.06,930,930,0.034989247311827974,-0.09026397849462366,0.17564973118279567,4.706849462365591,0.4267524755113122,-0.020294869814055348,-0.00524469543125287,40.229999999999976,0.3669128879894772,0.28817204301075267,0.07874084497872452,0.42795698924731185,0.1978494623655914,0.3741935483870968
M1_DC_uncal,0.07,876,876,0.0027168949771689548,-0.13586586757990865,0.1255821917808219,4.78593607305936,0.44904544981407474,-0.02048605218521938,-0.005802943294213539,51.32999999999999,0.3657558552842322,0.273972602739726,0.0917832525445062,0.4269406392694064,0.18835616438356165,0.384703196347032
M1_DC_uncal,0.08,837,837,0.004934289127837518,-0.12376194743130225,0.1430504778972521,4.865698924731183,0.4664448594808935,-0.02120780740477808,-0.007119239049000229,50.669999999999995,0.3643267865804061,0.2712066905615293,0.09312009601887683,0.4265232974910394,0.1827956989247312,0.3906810035842294
M1_DC_uncal,0.1,756,756,0.019193121693121696,-0.12474636243386243,0.17953273809523806,5.047751322751322,0.5067542629574507,-0.021254260671911288,-0.0082465503218842,42.83999999999999,0.3599095115762543,0.2619047619047619,0.09800474967149236,0.42724867724867727,0.17328042328042328,0.3994708994708995
M2_Elo_Platt,0.02,1133,1133,-0.017934686672550743,-0.13442365401588705,0.1120178729037952,5.155481023830538,0.31644049111472394,-0.01828199153148297,-0.00540213132019499,60.349999999999994,0.3241584955606946,0.25419240953221534,0.06996608602847926,0.4077669902912621,0.08120035304501325,0.5110326566637247
M2_Elo_Platt,0.03,1085,1085,-0.020248847926267285,-0.1459285714285714,0.11542649769585252,5.246691244239631,0.3293202143666569,-0.01857556178326693,-0.006216350523132702,62.379999999999995,0.3218820652855288,0.2488479262672811,0.0730341390182477,0.40921658986175113,0.07649769585253456,0.5142857142857142
M2_Elo_Platt,0.04,1037,1037,-0.008399228543876562,-0.13812246865959502,0.1341728543876567,5.347540983606557,0.34296328586922065,-0.01767284407974597,-0.005707960228126078,60.8,0.3193439283256035,0.24879459980713597,0.07054932851846751,0.4117647058823529,0.07328833172613308,0.5149469623915139
M2_Elo_Platt,0.05,992,992,-0.002993951612903232,-0.14246471774193548,0.1283465221774193,5.446854838709677,0.3564782777691984,-0.01694904139276115,-0.005357295514937892,65.42,0.31684657516635184,0.24596774193548387,0.07087883323086797,0.4092741935483871,0.06854838709677419,0.5221774193548387
M2_Elo_Platt,0.06,957,957,0.014639498432601894,-0.12014184952978058,0.16359691745036573,5.529937304075235,0.3675185309444674,-0.016352717130860325,-0.005045274548920198,58.14,0.3149738136934984,0.2476489028213166,0.06732491087218181,0.4117032392894462,0.06269592476489028,0.5256008359456635
M2_Elo_Platt,0.07,904,904,-0.004214601769911507,-0.14183517699115045,0.15657107300884957,5.6687057522123885,0.3852147778878682,-0.016681401983206858,-0.006118962616235396,58.169999999999995,0.311250484852933,0.23672566371681417,0.07452482113611883,0.41150442477876104,0.05420353982300885,0.5342920353982301
M2_Elo_Platt,0.08,871,871,-0.010711825487944885,-0.15816044776119403,0.14945981630309985,5.779184845005741,0.39698121173021095,-0.016265961958065955,-0.006127851957767459,54.290000000000006,0.3070378186542203,0.22732491389207807,0.07971290476214224,0.41102181400688864,0.05510907003444317,0.5338691159586682
M2_Elo_Platt,0.1,816,816,0.0008333333333333439,-0.15233088235294118,0.1630818014705882,5.95,0.41767019274275285,-0.014962802642811577,-0.005262133996511725,49.120000000000005,0.3020873924550959,0.22181372549019607,0.08027366696489985,0.4117647058823529,0.051470588235294115,0.5367647058823529
M3_LGBM_uncal,0.02,1195,1195,0.0854142259414226,-0.03178682008368203,0.20685251046025102,5.041765690376569,0.4495267701618557,-0.020055030190581222,-0.003132898916983128,39.47,0.3515068570076198,0.28368200836820084,0.06782484863941896,0.3757322175732218,0.27866108786610877,0.34560669456066945
M3_LGBM_uncal,0.03,1181,1181,0.08130397967823878,-0.038586790855207456,0.21190707027942418,5.060338696020322,0.4545666454442445,-0.01988931379211909,-0.0029762218576161446,40.15999999999997,0.3514849936454418,0.2819644369178662,0.06952055672757557,0.37510584250635054,0.2768839966130398,0.34801016088060965
M3_LGBM_uncal,0.04,1167,1167,0.08400171379605825,-0.03536418166238216,0.2139865038560411,5.080685518423308,0.45961848232384434,-0.019836787197426965,-0.002986663523582763,43.24999999999997,0.3513171923230474,0.2810625535561268,0.07025463876692062,0.37532133676092544,0.2759211653813196,0.34875749785775495
M3_LGBM_uncal,0.05,1146,1146,0.09209424083769632,-0.031173211169284468,0.22069219022687606,5.118551483420594,0.4672151713102658,-0.019537122030654847,-0.002765819382769345,44.04999999999998,0.35019634098239283,0.28184991273996507,0.06834642824242776,0.3743455497382199,0.2766143106457243,0.34904013961605584
M3_LGBM_uncal,0.06,1134,1134,0.08074955908289241,-0.04184876543209874,0.2066501322751323,5.144876543209875,0.47156814375411077,-0.019550580597379637,-0.0029793060558034137,49.329999999999984,0.34922559904178613,0.2760141093474427,0.07321148969434343,0.37213403880070545,0.2760141093474427,0.35185185185185186
M3_LGBM_uncal,0.07,1107,1107,0.08874435411020777,-0.03340582655826559,0.21649932249322493,5.198355916892502,0.48148837313053156,-0.019084532371413273,-0.0027489342172884444,45.69,0.3477744884572732,0.2755194218608853,0.07225506659638792,0.3721770551038844,0.27371273712737126,0.35411020776874436
