outer,alpha,train_brier
2021,0.0,0.613916883399971
2021,0.1,0.6076620854080808
2021,0.2,0.6019353320039916
2021,0.3,0.5967366231877032
2021,0.4,0.5920659589592155
2021,0.5,0.587923339318529
2021,0.6,0.5843087642656433
2021,0.7,0.5812222338005584
2021,0.8,0.5786637479232745
2021,0.9,0.5766333066337914
2021,1.0,0.5751309099321094
2122,0.0,0.6189767677211554
2122,0.1,0.6123913869080486
2122,0.2,0.6063821023743855
2122,0.3,0.6009489141201665
2122,0.4,0.5960918221453916
2122,0.5,0.5918108264500606
2122,0.6,0.5881059270341736
2122,0.7,0.5849771238977307
2122,0.8,0.5824244170407318
2122,0.9,0.5804478064631768
2122,1.0,0.5790472921650659
2223,0.0,0.6184002911561342
2223,0.1,0.6120896191062811
2223,0.2,0.6063552394703795
2223,0.3,0.6011971522484291
2223,0.4,0.59661535744043
2223,0.5,0.5926098550463825
2223,0.6,0.5891806450662864
2223,0.7,0.5863277275001415
2223,0.8,0.5840511023479481
2223,0.9,0.582350769609706
2223,1.0,0.5812267292854154
2324,0.0,0.6181018586463292
2324,0.1,0.612015983216269
2324,0.2,0.6065216617552679
2324,0.3,0.6016188942633256
2324,0.4,0.5973076807404422
2324,0.5,0.5935880211866176
2324,0.6,0.5904599156018518
2324,0.7,0.587923363986145
2324,0.8,0.5859783663394972
2324,0.9,0.5846249226619081
2324,1.0,0.583863032953378
