model,class,fav_side,n,roi,closing_price_edge,avg_odds,avg_edge,avg_p_model,realised_rate,calib_gap
M2_Elo_Platt,away,home_fav,443,-0.16503386004514672,-0.017038925633993427,6.964808126410835,0.4582400056802194,0.2478898951914182,0.16478555304740405,0.08310434214401416
M2_Elo_Platt,away,away_fav,50,-0.12499999999999996,-0.04433776256667153,2.1102,0.11458232218198257,0.5321191747850826,0.42,0.11211917478508265
M2_Elo_Platt,away,balanced,41,-0.074390243902439,-0.04610950347061588,2.7170731707317075,0.16449590835558625,0.4298155657119408,0.34146341463414637,0.08835215107779443
M2_Elo_Platt,draw,home_fav,43,0.05465116279069762,0.015784632568936918,6.810000000000001,0.47178782442617867,0.2198454868857981,0.16279069767441862,0.05705478921137949
M2_Elo_Platt,draw,away_fav,14,-0.2714285714285714,-0.025766665748645706,4.328571428571428,0.08389558007664029,0.2546364120926489,0.14285714285714285,0.11177926923550607
M2_Elo_Platt,draw,balanced,19,0.20684210526315788,0.000961238543281702,3.8368421052631576,0.07934706075089021,0.281429130101229,0.3157894736842105,0.03436034358298151
M2_Elo_Platt,home,home_fav,118,0.015423728813559308,-0.03484598833360989,2.1271186440677967,0.1175478987585652,0.5297032891810505,0.4830508474576271,0.046652441723423366
M2_Elo_Platt,home,away_fav,238,0.4083193277310925,-0.0024186727453529,5.775420168067227,0.38034017705288875,0.27291809045756565,0.2605042016806723,0.012413888776893367
M2_Elo_Platt,home,balanced,71,-0.3912676056338028,-0.032674875489497164,2.692957746478873,0.18054272761412277,0.4407200048004858,0.22535211267605634,0.21536789212442944
M3_LGBM_uncal,away,home_fav,339,-0.19348082595870209,-0.025496905589942588,7.621120943952803,0.6347723431869875,0.25821389129270156,0.14454277286135694,0.11367111843134461
M3_LGBM_uncal,away,away_fav,37,-0.17216216216216215,-0.039548922818570025,2.044864864864864,0.17510246933233897,0.5813790866296311,0.40540540540540543,0.1759736812242257
M3_LGBM_uncal,away,balanced,31,-0.20548387096774196,-0.05484037713948398,2.7022580645161294,0.27423552008669483,0.47241503964282877,0.2903225806451613,0.18209245899766746
M3_LGBM_uncal,draw,home_fav,186,0.38849462365591403,-0.010929099917151618,4.431720430107527,0.28082935041728035,0.30139305281804085,0.3387096774193548,0.037316624601313964
M3_LGBM_uncal,draw,away_fav,76,0.0907894736842105,-0.013820292693662806,3.8277631578947373,0.3291500668684069,0.34760512438590907,0.2894736842105263,0.05813144017538274
M3_LGBM_uncal,draw,balanced,60,0.15666666666666668,-0.013746220119876243,3.6074999999999995,0.2737302868420329,0.35281274467213336,0.31666666666666665,0.03614607800546671
M3_LGBM_uncal,home,home_fav,120,0.11383333333333333,-0.034842764803875007,2.0231666666666666,0.15628425665242637,0.5800226919550724,0.5583333333333333,0.02168935862173904
M3_LGBM_uncal,home,away_fav,246,0.34382113821138216,-0.004565326772001776,5.761382113821137,0.7152328362582867,0.32380839312000825,0.24796747967479674,0.07584091344521152
M3_LGBM_uncal,home,balanced,72,-0.14500000000000002,-0.029591494859958996,2.700416666666667,0.2476664174387332,0.46376822442504345,0.3194444444444444,0.14432377998059903
M2_Elo_Platt,away,p_quintile_Q1,156,-0.16525641025641027,0.007031401416516983,11.384102564102564,0.7841146036927199,0.16369986472310374,0.08333333333333333,0.08036653138977042
M2_Elo_Platt,away,p_quintile_Q3,115,-0.0608695652173913,-0.02921562436154464,4.224347826086956,0.24737002433690394,0.2969635552780377,0.22608695652173913,0.07087659875629856
M2_Elo_Platt,away,p_quintile_Q5,65,-0.03569230769230768,-0.04692599056659558,2.2455384615384615,0.15978753477763732,0.521257176936277,0.4307692307692308,0.09048794616704625
M2_Elo_Platt,away,p_quintile_Q4,101,0.0226732673267327,-0.03557746096018144,3.198613861386138,0.198407216181871,0.3763611786620387,0.32673267326732675,0.049628505394711975
M2_Elo_Platt,away,p_quintile_Q2,97,-0.511340206185567,-0.028342378371957664,5.892577319587629,0.3533919721473367,0.23156120828597457,0.08247422680412371,0.14908698148185084
M2_Elo_Platt,draw,p_quintile_Q3,31,-0.26032258064516134,-0.0010362945130688332,3.8770967741935483,0.08282910444202028,0.279442819614701,0.1935483870967742,0.08589443251792683
M2_Elo_Platt,draw,p_quintile_Q2,44,0.2625,0.011723804758313628,6.829090909090909,0.4623174516820225,0.21626203340838346,0.20454545454545456,0.0117165788629289
M2_Elo_Platt,home,p_quintile_Q1,51,0.9823529411764707,0.010221160489073572,10.067058823529411,0.6265624024111759,0.16726441813467338,0.19607843137254902,0.028814013237875635
M2_Elo_Platt,home,p_quintile_Q3,61,0.08229508196721311,0.0029029592406995606,4.2821311475409845,0.2640700579732003,0.2970959345300437,0.26229508196721313,0.03480085256283055
M2_Elo_Platt,home,p_quintile_Q5,143,-0.08699300699300702,-0.03660360572660685,2.2201398601398603,0.1548685676189224,0.5249432710435592,0.42657342657342656,0.09836984447013264
M2_Elo_Platt,home,p_quintile_Q4,106,-0.06962264150943394,-0.025350026506137328,3.084056603773585,0.2075980945956821,0.3942718031732263,0.29245283018867924,0.10181897298454706
M2_Elo_Platt,home,p_quintile_Q2,66,0.5442424242424242,0.0032677550517523518,6.026212121212121,0.3787210393442049,0.2308723903985925,0.25757575757575757,0.026703367177165066
M3_LGBM_uncal,away,p_quintile_Q1,164,-0.40310975609756095,-0.018050794110549606,10.974390243902441,0.8446471324532616,0.17942675778970973,0.06097560975609756,0.11845114803361217
M3_LGBM_uncal,away,p_quintile_Q2,71,0.03577464788732394,-0.021868342024182467,5.397323943661972,0.46287279654113594,0.27258694926315563,0.18309859154929578,0.08948835771385985
M3_LGBM_uncal,away,p_quintile_Q4,62,0.07870967741935488,-0.058780339905829954,3.415,0.38553350853531787,0.4072950586450561,0.3064516129032258,0.1008434457418303
M3_LGBM_uncal,away,p_quintile_Q3,53,-0.12622641509433963,-0.021493889284018214,4.083962264150943,0.3546952018520981,0.3320036168488762,0.20754716981132076,0.12445644703755543
M3_LGBM_uncal,away,p_quintile_Q5,57,-0.22719298245614034,-0.04403987906210733,2.3122807017543856,0.2821034267415154,0.5624956943556053,0.3508771929824561,0.2116185013731492
M3_LGBM_uncal,draw,p_quintile_Q1,26,0.04730769230769232,0.020331311278290756,6.786923076923076,0.3883522290426733,0.21119311874169772,0.19230769230769232,0.018885426434005398
M3_LGBM_uncal,draw,p_quintile_Q2,93,0.38881720430107525,-0.01553070369768005,4.268494623655914,0.18942128009666204,0.2807427119888435,0.3333333333333333,0.05259062134448983
M3_LGBM_uncal,draw,p_quintile_Q4,80,0.160625,-0.015423777721420544,3.7316249999999997,0.43229001800152533,0.38407241850035856,0.3125,0.07157241850035856
M3_LGBM_uncal,draw,p_quintile_Q3,122,0.29254098360655734,-0.014128146927693543,3.7382786885245904,0.25137756573140463,0.33482958470062385,0.3442622950819672,0.009432710381343357
