source,slice,n,coverage,brier,brier_ci_lo,brier_ci_hi,logloss,ece,gap_vs_closing_bench
Bookmaker_max_open,dev_1617_2324,1530,0.625,0.5811362074800226,0.5633096377496151,0.599470640115379,0.9777196831417969,0.02214771637022224,0.001236207480022622
Bookmaker_avg_open,dev_1617_2324,1530,0.625,0.5812029171912071,0.5636681465376263,0.5989971258924051,0.9777281179878289,0.02091025569200754,0.0013029171912071202
Pinnacle_open,dev_1617_2324,2447,0.9995915032679739,0.5839653131782894,0.5714759449266046,0.5976139018556202,0.9807976961458796,0.019657704652436197,0.004065313178289398
Bet365_open,dev_1617_2324,2448,1.0,0.5841148764000686,0.5712159954306187,0.5987418648103678,0.9809714470526636,0.0199292297913673,0.004214876400068679
Pinnacle_open,outer_2021_2324,1224,1.0,0.5820721462517379,0.5632418667363264,0.6018786192504508,0.9794999146787634,0.027390478346612856,0.0021721462517378942
Bookmaker_max_open,outer_2021_2324,1224,1.0,0.5821901877655361,0.5628315282669496,0.6023861971030688,0.9798577096818919,0.029981887327743567,0.0022901877655361336
Bookmaker_avg_open,outer_2021_2324,1224,1.0,0.5822254854702581,0.5634157414040067,0.6019929922482382,0.9797518285671001,0.028473616281338866,0.0023254854702581262
Bet365_open,outer_2021_2324,1224,1.0,0.5823035882629094,0.5635096005449004,0.6025058103819638,0.9798518824138883,0.024864653353725136,0.0024035882629094285
