fold,subset,n,brier_dc,brier_elo,logloss_dc,logloss_elo,n_promoted_teams_in_fold,promoted_teams
2021,all,306,0.6193577271325413,0.6290965363635246,1.03242609677844,1.0708496542676167,2,"['Bielefeld', 'Stuttgart']"
2021,promoted_match_any_side,66,0.66434262345334,0.617872579114232,1.0995396622636067,1.048416029210039,2,"['Bielefeld', 'Stuttgart']"
2021,promoted_home_only,32,0.6413490413547425,0.5145577606013425,1.0605330251131926,0.9001101266773277,2,"['Bielefeld', 'Stuttgart']"
2021,promoted_away_only,32,0.6871909528511049,0.7135261131075835,1.13860426026374,1.1921815993503597,2,"['Bielefeld', 'Stuttgart']"
2021,seasoned_only,240,0.6069868806443217,0.63218312460708,1.0139698662700192,1.0770189011584506,2,"['Bielefeld', 'Stuttgart']"
2122,all,306,0.6208270883937632,0.6166708614610704,1.03530362081139,1.0444760818616932,2,"['Bochum', 'Greuther Furth']"
2122,promoted_match_any_side,66,0.6666666666666667,0.5637463578591837,1.0986122886681098,0.9720460403967014,2,"['Bochum', 'Greuther Furth']"
2122,promoted_home_only,32,0.6666666666666667,0.6574216332952426,1.0986122886681098,1.0896398487964494,2,"['Bochum', 'Greuther Furth']"
2122,promoted_away_only,32,0.6666666666666667,0.4778380751735035,1.0986122886681098,0.8684826695936245,2,"['Bochum', 'Greuther Furth']"
2122,seasoned_only,240,0.6082212043687147,0.6312250999515893,1.0178937371507921,1.0643943432645657,2,"['Bochum', 'Greuther Furth']"
2223,all,306,0.5912392841972579,0.6169081286071086,0.9897557950792,1.0572559595323563,2,"['Schalke 04', 'Werder Bremen']"
2223,promoted_match_any_side,66,0.5759724455636281,0.636390287834988,0.9607839346397485,1.1016972199645356,2,"['Schalke 04', 'Werder Bremen']"
2223,promoted_home_only,32,0.5702148970642354,0.591075882815023,0.9566566131483891,1.0103937972382597,2,"['Schalke 04', 'Werder Bremen']"
2223,promoted_away_only,32,0.5850348170166986,0.7003932880802817,0.9688141464186244,1.2229052960963744,2,"['Schalke 04', 'Werder Bremen']"
2223,seasoned_only,240,0.5954376648215062,0.6115505348194419,0.9977230567000491,1.0450346129135069,2,"['Schalke 04', 'Werder Bremen']"
2324,all,306,0.6030263731785211,0.61287510533789,1.0085130375746456,1.053867490845817,2,"['Darmstadt', 'Heidenheim']"
2324,promoted_match_any_side,66,0.5829201871936075,0.6216004969009976,0.9696997394274366,1.0819800881610424,2,"['Darmstadt', 'Heidenheim']"
2324,promoted_home_only,32,0.5634571992078532,0.6000472981403893,0.9479060236059975,1.0181591328768769,2,"['Darmstadt', 'Heidenheim']"
2324,promoted_away_only,32,0.5971490202122958,0.6643017640433736,0.9834364209213339,1.1788572448906813,2,"['Darmstadt', 'Heidenheim']"
2324,seasoned_only,240,0.6085555743243724,0.6104756226580353,1.0191866945651282,1.0461365265841303,2,"['Darmstadt', 'Heidenheim']"
