outer_fold,earlier_seeds,brier_Pinnacle_preclose,brier_Bookmaker_avg_preclose,brier_Bookmaker_max_preclose,brier_Bet365_preclose,selected_source,selected_train_brier
2021,"1819,1920",0.5753279850711144,0.5771126440750027,0.5769202863379683,0.5745292849260206,Bet365_preclose,0.5745292849260206
2122,"1819,1920,2021",0.5791828748173724,0.5819942007301186,0.5815594002585984,0.5788366779943787,Bet365_preclose,0.5788366779943787
2223,"1819,1920,2021,2122",0.5813301706012661,0.5838391908287375,0.5837227358718913,0.5809425058967403,Bet365_preclose,0.5809425058967403
2324,"1819,1920,2021,2122,2223",0.583947496676696,0.5865038153795488,0.5864700827406069,0.583709680461855,Bet365_preclose,0.583709680461855
