season,date,home_team,away_team,y,dc_p_away,dc_p_draw,dc_p_home,elo_p_away,elo_p_draw,elo_p_home,ps_close_home,ps_close_draw,ps_close_away
2425,2024-08-23,M'gladbach,Leverkusen,0,0.5171711061941325,0.24177266016549526,0.2410562336403722,0.7106455825098478,0.08964857976333888,0.1997058377268134,4.94,4.38,1.67
2425,2024-08-24,RB Leipzig,Bochum,2,0.06393848126703927,0.14079157872845913,0.7952699400045016,0.08863733386981806,0.05,0.8613626661301819,1.22,7.23,12.72
2425,2024-08-24,Mainz,Union Berlin,1,0.2728141412910488,0.31024027417995437,0.4169455845289969,0.2562988082394038,0.1257058615380611,0.6179953302225352,2.1,3.39,3.9
2425,2024-08-24,Hoffenheim,Kiel,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2720501216079358,0.13779858347513144,0.5901512949169329,1.61,4.68,5.05
2425,2024-08-24,Augsburg,Werder Bremen,1,0.311657860786819,0.281782724960353,0.40655941425282793,0.33682413638222575,0.20776980520105773,0.45540605841671655,2.57,3.61,2.77
2425,2024-08-24,Dortmund,Ein Frankfurt,2,0.1578388953572501,0.20406348590157863,0.6380976187411712,0.18389150496229933,0.08103523355461792,0.7350732614830827,1.75,4.19,4.58
2425,2024-08-24,Freiburg,Stuttgart,2,0.34340284729962395,0.2790469419643132,0.37755021073606293,0.46484075860733404,0.20211242865546408,0.3330468127372019,3.73,3.99,1.96
2425,2024-08-25,St Pauli,Heidenheim,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3214109035187323,0.18650679697635586,0.49208229950491184,2.02,3.49,4.06
2425,2024-08-25,Wolfsburg,Bayern Munich,0,0.5803088592020682,0.22454569753533898,0.1951454432625928,0.6232550814080744,0.12349398175845869,0.253250936833467,6.5,4.57,1.52
2425,2024-08-30,Union Berlin,St Pauli,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2902150325737358,0.15341252719979667,0.5563724402264675,1.95,3.43,4.43
2425,2024-08-31,Leverkusen,RB Leipzig,0,0.2737702345853981,0.26853247716386425,0.45769728825073763,0.22301732129194551,0.10336568966605841,0.6736169890419961,1.63,4.45,5.15
