fold,date,home_team,away_team,y,is_promoted,promoted_idx,p0_p_away,p0_p_draw,p0_p_home,p1_p_away,p1_p_draw,p1_p_home,p2_p_away,p2_p_draw,p2_p_home,p4_p_away,p4_p_draw,p4_p_home,e0_p_away,e0_p_draw,e0_p_home,e1_p_away,e1_p_draw,e1_p_home,suppressed_p3
2021,2020-09-18,Bayern Munich,Schalke 04,2,False,0,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.043422587438917984,0.05,0.9065774125610819,0.043422587438917984,0.05,0.9065774125610819,False
2021,2020-09-19,Dortmund,M'gladbach,2,False,0,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.2331776466471973,0.10979678492146984,0.6570255684313329,0.2331776466471973,0.10979678492146984,0.6570255684313329,False
2021,2020-09-19,Ein Frankfurt,Bielefeld,1,True,1,0.3,0.26,0.44,0.27405272226795724,0.13942400774789315,0.5865232699841496,0.27405272226795724,0.13942400774789315,0.5865232699841496,0.2553420801698074,0.2618840875013233,0.4827738323288694,0.27405272226795724,0.13942400774789315,0.5865232699841496,0.27405272226795724,0.13942400774789315,0.5865232699841496,True
2021,2020-09-19,FC Koln,Hoffenheim,0,False,0,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.46335293306906467,0.20299558662613526,0.33365148030480013,0.46335293306906467,0.20299558662613526,0.33365148030480013,False
2021,2020-09-19,Stuttgart,Freiburg,0,True,1,0.37030325796054236,0.3132144217594,0.31648232028005757,0.2933408264438035,0.15632019475247955,0.550338978803717,0.2933408264438035,0.15632019475247955,0.550338978803717,0.29060208490116424,0.2870402534866783,0.4223576616121576,0.2933408264438035,0.15632019475247955,0.550338978803717,0.2933408264438035,0.15632019475247955,0.550338978803717,True
2021,2020-09-19,Union Berlin,Augsburg,0,False,0,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.25953094331273174,0.12809414006580835,0.6123749166214599,0.25953094331273174,0.12809414006580835,0.6123749166214599,False
2021,2020-09-19,Werder Bremen,Hertha,0,False,0,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3248227868836237,0.19083532238881248,0.4843418907275638,0.3248227868836237,0.19083532238881248,0.4843418907275638,False
2021,2020-09-20,RB Leipzig,Mainz,2,False,0,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1342113921281941,0.05671415005173771,0.8090744578200681,0.1342113921281941,0.05671415005173771,0.8090744578200681,False
2021,2020-09-20,Wolfsburg,Leverkusen,1,False,0,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.35183000470406056,0.2346498318386693,0.41352016345727016,0.35183000470406056,0.2346498318386693,0.41352016345727016,False
2021,2020-09-25,Hertha,Ein Frankfurt,0,False,0,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.32298515581138765,0.18848116080399482,0.48853368338461756,0.32298515581138765,0.18848116080399482,0.48853368338461756,False
