cut,value,n,roi,closing_price_edge,avg_odds,avg_edge,calib_gap,model,method
class,all,1022,0.04301369863013698,-0.021201751959866254,4.574099804305283,0.3928289633032786,0.06852537881069126,M1_DC,uncalibrated
class,home,438,0.185,-0.019523916312533,3.4923744292237444,0.39087544171303845,0.07051741141578788,M1_DC,uncalibrated
class,draw,214,0.1783644859813084,-0.01623637888705504,5.185467289719626,0.15901122642834736,0.02108372202504477,M1_DC,uncalibrated
class,away,370,-0.20335135135135135,-0.02605981101692995,5.5010270270270265,0.5303766339729014,0.117995209345327,M1_DC,uncalibrated
odds_bucket,6.0+,207,0.019758454106280226,0.0012070860002962639,9.44304347826087,1.0357123196093139,0.10559515367826022,M1_DC,uncalibrated
odds_bucket,3.5-6.0,375,0.12218666666666665,-0.020408283703159617,4.3578133333333335,0.28446713182082384,0.033710607447102914,M1_DC,uncalibrated
odds_bucket,2.0-3.5,338,-0.014289940828402356,-0.029984794380444785,2.7019526627218933,0.20321243123942934,0.08441355649954457,M1_DC,uncalibrated
odds_bucket,1.0-2.0,102,-0.010980392156862752,-0.040491082507543595,1.6919607843137254,0.11488013867731973,0.06864196513349985,M1_DC,uncalibrated
edge_bucket,>0.20,493,0.010243407707910759,-0.01698276765025173,5.76105476673428,0.6997979590509753,0.11729310772927301,M1_DC,uncalibrated
edge_bucket,0.05-0.10,220,0.10054545454545454,-0.01768578354758682,3.2650909090909095,0.0740657527378384,0.015426709380353731,M1_DC,uncalibrated
edge_bucket,0.10-0.20,263,0.03596958174904945,-0.02926127991023129,3.7106463878327,0.14488908358822047,0.061848245783713396,M1_DC,uncalibrated
edge_bucket,<=0.05,46,0.1593478260869565,-0.037154283794549554,3.050217391304348,0.045011132560726454,0.014451685727041919,M1_DC,uncalibrated
class,all,1070,-0.026457943925233637,-0.015883242129269788,5.516654205607477,0.5704972491823145,0.09729010215061742,M1_DC,platt
class,home,437,0.20169336384439362,-0.012871746843452566,4.409816933638444,0.4679724034015757,0.06623850152055749,M1_DC,platt
class,draw,8,0.16374999999999995,-0.03830331170370885,5.18625,0.1425925606231613,0.027192406747264697,M1_DC,platt
class,away,625,-0.188416,-0.017701902742560362,6.294784,0.6476598013657642,0.12059475742504824,M1_DC,platt
odds_bucket,6.0+,310,-0.03387096774193549,0.0014055965929858263,10.147709677419355,1.309710196874295,0.133765457312005,M1_DC,platt
odds_bucket,3.5-6.0,377,0.020291777188328922,-0.018512914333983062,4.505755968169762,0.36995891647345086,0.07724360382001128,M1_DC,platt
odds_bucket,2.0-3.5,371,-0.07633423180592992,-0.02735084830174968,2.792291105121294,0.17206393642733095,0.09294536846355361,M1_DC,platt
odds_bucket,1.0-2.0,12,0.23833333333333337,-0.02535588319029407,1.8683333333333332,0.09263863908452867,0.08087106714029901,M1_DC,platt
edge_bucket,>0.20,674,-0.04623145400593472,-0.010749417727955684,6.843724035608309,0.839624483723901,0.13011482167736016,M1_DC,platt
edge_bucket,0.05-0.10,132,0.04060606060606063,-0.024304678462326226,3.0966666666666667,0.07426298709159589,0.014133449225697203,M1_DC,platt
edge_bucket,<=0.05,37,-0.4964864864864864,-0.013479309075576101,3.1213513513513513,0.04447870949985692,0.20088612745375284,M1_DC,platt
edge_bucket,0.10-0.20,227,0.06986784140969166,-0.02662118738701832,3.3740088105726866,0.14571245835939176,0.031297874348189314,M1_DC,platt
class,all,1087,-0.0022723091076357034,-0.019392021755034416,4.845252989880405,0.4624319458098568,0.08971175993995684,M1_DC,isotonic
class,home,378,0.1818783068783069,-0.01632660126259256,3.9874867724867724,0.44000893169654115,0.08484245441525834,M1_DC,isotonic
class,draw,131,0.16725190839694656,-0.015108726284325691,4.668702290076336,0.16188386067567875,0.01947178782982978,M1_DC,isotonic
class,away,578,-0.16112456747404844,-0.022367524614560135,5.4462283737024215,0.5452134310821934,0.11764193683645874,M1_DC,isotonic
odds_bucket,6.0+,249,0.06253012048192771,-0.0011188390714592285,9.69421686746988,1.1692382585513332,0.11663299085790325,M1_DC,isotonic
odds_bucket,3.5-6.0,394,-0.008401015228426399,-0.017298361980690718,4.362842639593909,0.3418241492647418,0.07658317931852252,M1_DC,isotonic
odds_bucket,2.0-3.5,349,-0.034584527220630386,-0.029883221110163744,2.8026934097421203,0.18506199980862276,0.08533864505236038,M1_DC,isotonic
odds_bucket,1.0-2.0,95,-0.028,-0.03742882032726078,1.640315789473684,0.129029957605418,0.08966430059308972,M1_DC,isotonic
edge_bucket,>0.20,587,-0.07921635434412266,-0.016092447898691103,6.188279386712096,0.7627767340781599,0.13855860721798072,M1_DC,isotonic
edge_bucket,<=0.05,36,0.005277777777777776,-0.019432863837629908,2.9994444444444444,0.04411536382340458,0.00536225782955313,M1_DC,isotonic
edge_bucket,0.10-0.20,275,0.06330909090909093,-0.021124040965484397,3.444,0.14399057193050055,0.04891897156363356,M1_DC,isotonic
edge_bucket,0.05-0.10,189,0.1398412698412698,-0.027111991362581207,3.064497354497355,0.07263503604711245,0.015466162537794093,M1_DC,isotonic
class,all,1190,0.01696638655462185,-0.022294751760076018,4.135840336134454,0.3387761399389406,0.11292888404749712,M2_Elo,uncalibrated
class,home,843,0.06998813760379596,-0.02105046262315063,3.2262752075919336,0.35536078454854886,0.1281319614977749,M2_Elo,uncalibrated
class,draw,1,-1.0,0.005992945730982857,4.16,0.0999016141378517,0.2643994264754451,M2_Elo,uncalibrated
class,away,346,-0.10927745664739885,-0.025408114303194975,6.35184971098266,0.2990594321929907,0.07545008395208641,M2_Elo,uncalibrated
odds_bucket,6.0+,203,0.18788177339901477,-0.0019965760764347014,10.601477832512318,0.5790474259470355,0.05531081076376618,M2_Elo,uncalibrated
odds_bucket,3.5-6.0,237,0.07118143459915616,-0.015477330363855606,4.46831223628692,0.3725541466875619,0.06795965923175318,M2_Elo,uncalibrated
odds_bucket,2.0-3.5,478,-0.04891213389121337,-0.025096652687411153,2.641652719665272,0.2841715016535327,0.1314973688571292,M2_Elo,uncalibrated
odds_bucket,1.0-2.0,272,-0.04205882352941178,-0.038460008713815844,1.6465073529411764,0.22598407538511153,0.16248197014648447,M2_Elo,uncalibrated
edge_bucket,0.10-0.20,295,0.09559322033898306,-0.025968957593281466,3.2090169491525424,0.15107922579316738,0.04080104297202147,M2_Elo,uncalibrated
edge_bucket,>0.20,793,-0.0002143757881462866,-0.020264861167448023,4.6227112232030265,0.44277691434649497,0.14590469545297757,M2_Elo,uncalibrated
edge_bucket,0.05-0.10,90,-0.039999999999999994,-0.02597848417665768,2.733111111111111,0.07679228845341243,0.056204032387207115,M2_Elo,uncalibrated
edge_bucket,<=0.05,12,-0.35333333333333333,-0.0384844685655796,5.266666666666666,0.04515299006478043,0.13235649422628137,M2_Elo,uncalibrated
class,all,1037,-0.008399228543876562,-0.01767284407974597,5.347540983606557,0.34296328586922065,0.07054932851846751,M2_Elo,platt
class,home,427,0.16679156908665105,-0.01641074214640341,4.254683840749414,0.2744968333786907,0.055622046822246085,M2_Elo,platt
class,draw,76,0.03263157894736843,0.004424597530336841,5.609605263157895,0.3022237990219152,0.044281831280391454,M2_Elo,platt
class,away,534,-0.15432584269662922,-0.02182700716570771,6.184119850187265,0.40350893420976647,0.0862240084330374,M2_Elo,platt
odds_bucket,6.0+,293,0.08928327645051193,0.00655595277116008,10.063788395904437,0.7393651053448014,0.06692905888261796,M2_Elo,platt
odds_bucket,3.5-6.0,349,-0.006733524355300853,-0.02021365887073162,4.488280802292263,0.22296496202077587,0.05151749532852057,M2_Elo,platt
odds_bucket,2.0-3.5,349,-0.10495702005730657,-0.03041962735561431,2.7066762177650427,0.16336783725865742,0.10185971360099833,M2_Elo,platt
odds_bucket,1.0-2.0,46,0.0893478260869565,-0.056013403905472735,1.8623913043478257,0.09106097025723402,0.00045203270960081365,M2_Elo,platt
edge_bucket,>0.20,532,0.0017669172932330585,-0.012106967074659908,7.20703007518797,0.5635969228569757,0.09465017186659416,M2_Elo,platt
edge_bucket,0.10-0.20,284,-0.0009154929577464813,-0.020312466453574565,3.5952816901408453,0.14431448703582836,0.05334303102228932,M2_Elo,platt
edge_bucket,<=0.05,45,-0.12755555555555556,-0.03362867220172235,3.1582222222222223,0.04503279776304359,0.0632855801917726,M2_Elo,platt
