fold,n,brier_uniform,brier_baserate,brier_dc,brier_elo,brier_pinnacle_close,logloss_dc,logloss_elo,logloss_baserate,logloss_uniform,pinnacle_coverage
2021,306,0.6666666666666669,0.6550525438933743,0.6193577271325413,0.6290965363635246,0.5836494693759542,1.03242609677844,1.0708496542676167,1.0814984563285188,1.0986122886681096,1.0
2122,306,0.6666666666666669,0.6390388312187619,0.6208270883937633,0.6166708614610705,0.5820679978951583,1.03530362081139,1.0444760818616932,1.0584574166263157,1.0986122886681096,1.0
2223,306,0.6666666666666669,0.6377129404170286,0.5912392841972579,0.6169081286071086,0.5939399492329587,0.9897557950792,1.057255959532356,1.057051499737884,1.0986122886681096,1.0
2324,306,0.6666666666666669,0.6502871301025857,0.6030263731785211,0.61287510533789,0.5582590344121765,1.0085130375746456,1.053867490845817,1.0750184660709334,1.0986122886681096,1.0
