model,method,n,brier,brier_ci_lo,brier_ci_hi,logloss,logloss_ci_lo,logloss_ci_hi,ece
M1_DC,uncalibrated,1224,0.6059269314011436,0.5877457791359123,0.623314375085566,1.0126751483596277,0.9863531678472078,1.037938749250752,0.021740306359773014
M1_DC,platt,1224,0.6106218776235696,0.5963646995653559,0.6246096914249958,1.0204303554854055,1.000293863114667,1.0398229849251077,0.030544556404201815
M1_DC,isotonic,1224,0.6109848378756911,0.5936329135979512,0.6277622490997776,1.0401305171071293,0.9987613016620794,1.0994241274607541,0.032796301918815156
M2_Elo,platt,1224,0.5976875887766443,0.5811366713097018,0.6148470712075378,1.0014773392084566,0.9784833773881044,1.0253963130545067,0.037050162773437006
M2_Elo,isotonic,1224,0.5998670366743636,0.5795738690419143,0.6216299584228046,1.1632727631648692,1.0498965902735167,1.2953282774096018,0.039186276901694704
M2_Elo,uncalibrated,1224,0.6188876579423984,0.5930181564822862,0.6446820791174277,1.0566122966268707,1.0146609699324642,1.0983184275466644,0.07852254734372104
M3_LGBM_dmwd,uncalibrated,1224,0.6017145374914362,0.5852304065637556,0.6184517849213141,1.008969962815389,0.985267421042872,1.0327198200565482,0.023021563926151317
M3_LGBM_dmwd,platt,1224,0.6113553223160616,0.5978895899503264,0.6248037199120352,1.022364804077644,1.0035187433766648,1.0416140375232374,0.046609558009764906
M3_LGBM_dmwd,isotonic,1224,0.6193787955544766,0.5981457669473127,0.6394524686092721,1.4980793811095592,1.3033455610805003,1.720117926995244,0.06355295563457569
M4_LGBM,uncalibrated,1224,0.6026461336914815,0.5850837371133596,0.6196992213451319,1.0103919256242109,0.9850682224075635,1.034888111407218,0.023452140088411472
M4_LGBM,platt,1224,0.6124209379991394,0.598543323283009,0.6260683838625539,1.0237969660182427,1.004791527074511,1.043069166837358,0.04742252748212319
M4_LGBM,isotonic,1224,0.6196386976484358,0.5990849885878368,0.6406956490919494,1.4760081954435484,1.2902563716468807,1.6838964404869572,0.06064288959450611
