model,policy,threshold,signal_count,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M1_DC,all,0.02,1653,-0.03566848154869933,-0.1304298245614035,0.07037416817906833,5.349001814882033,0.4325561913778901,-0.01700248342072671,-0.0014286250133684125,0.46669670948312475,80.06000000000002,0.3076464786524943,0.22928009679370842,0.07836638185878586,0.3702359346642468,0.35329703569267995,0.2764670296430732
M1_DC,all,0.03,1600,-0.04041874999999998,-0.13641140624999998,0.07375156249999998,5.41455625,0.4460486988532398,-0.016393527295907956,-0.0009864191558653851,0.4799223252201077,77.53000000000002,0.30715120102294996,0.225625,0.08152620102294997,0.37375,0.348125,0.278125
M1_DC,all,0.04,1542,-0.042153047989623854,-0.13630025940337223,0.06956663424124511,5.490538261997406,0.4615234390792063,-0.01573193894921013,-0.0006049383625468788,0.49509958903261775,82.75,0.30572778075888124,0.22114137483787288,0.08458640592100836,0.374189364461738,0.3463035019455253,0.2795071335927367
M1_DC,all,0.05,1467,-0.04719154737559645,-0.16318745739604634,0.059768575323790075,5.589740967961826,0.4828141069531337,-0.015663072865527608,-0.00080734977693697,0.5170097346718148,82.08999999999999,0.30474049153965,0.2147239263803681,0.09001656515928189,0.37627811860940696,0.3394683026584867,0.2842535787321063
M1_DC,all,0.06,1411,-0.043444365698086455,-0.1599181431608788,0.0690320694542877,5.670935506732814,0.4998023063266731,-0.0158289266481726,-0.0012021580816753692,0.5347031723844248,74.01999999999998,0.3037070321233554,0.21261516654854712,0.0910918655748083,0.3777462792345854,0.3359319631467045,0.28632175761871015
M1_DC,all,0.07,1365,-0.04515018315018315,-0.1569,0.06635989010989009,5.736776556776556,0.5144289624934587,-0.015688205245712645,-0.0012154224135140774,0.5496635670858506,74.35,0.3035468219736268,0.21025641025641026,0.09329041171721655,0.38095238095238093,0.32893772893772893,0.29010989010989013
M1_DC,all,0.08,1306,-0.03929555895865237,-0.15162672281776415,0.07350631699846859,5.836990811638591,0.5342763130667193,-0.01594917547014928,-0.0017352186560767844,0.570382205238518,75.91,0.30190909580537206,0.2082695252679939,0.09363957053737818,0.38055130168453294,0.33001531393568145,0.2894333843797856
M1_DC,all,0.1,1210,-0.037975206611570236,-0.16552190082644627,0.09435082644628093,6.005743801652892,0.5694375658912412,-0.015795891534932122,-0.0023882810955986504,0.6063585166533197,74.44,0.30015138220712134,0.20330578512396694,0.0968455970831544,0.3867768595041322,0.32148760330578513,0.29173553719008266
M1_DC,one_per,0.02,1109,-0.023363390441839486,-0.15554440937781785,0.10031672678088362,5.315554553651938,0.4941435985878459,-0.013882556135017456,-7.043269405115874e-06,0.526709193631204,58.83000000000001,0.33669627906882976,0.24706943192064923,0.08962684714818053,0.5464382326420198,0.07303877366997295,0.38052299368800724
M1_DC,one_per,0.03,1084,-0.02181734317343174,-0.13935562730627307,0.09926222324723244,5.371780442804428,0.5049547698140178,-0.013266795247471343,0.00048597625634046496,0.5371445411510135,54.19000000000001,0.3357750237301843,0.24538745387453875,0.09038756985564556,0.5479704797047971,0.07103321033210332,0.38099630996309963
M1_DC,one_per,0.04,1044,-0.02297892720306513,-0.15766044061302684,0.12001388888888888,5.46036398467433,0.5229838309081061,-0.012191084887585843,0.0011509691684703346,0.5544394626534009,53.8,0.3339478715956501,0.24042145593869732,0.09352641565695277,0.5498084291187739,0.06417624521072797,0.38601532567049807
M1_DC,one_per,0.05,1004,-0.035946215139442225,-0.1707614541832669,0.11635383466135456,5.556145418326694,0.541997175208361,-0.01189931445329597,0.0011739495958704273,0.5736922706976989,62.27,0.33200839959238504,0.23107569721115537,0.10093270238122967,0.547808764940239,0.061752988047808766,0.3904382470119522
M1_DC,one_per,0.06,966,-0.032101449275362334,-0.15837008281573497,0.1057251552795031,5.645527950310559,0.5611609278544943,-0.011823063731656749,0.0009873892448820645,0.5933496946119801,60.969999999999985,0.33078774338417155,0.2287784679089027,0.10200927547526886,0.5507246376811594,0.055900621118012424,0.39337474120082816
M1_DC,one_per,0.07,938,-0.037004264392324085,-0.17155250533049038,0.09932675906183361,5.708955223880597,0.5759542915990223,-0.011722429413076834,0.0008790098051422237,0.608497276393874,62.01,0.330780876402774,0.2260127931769723,0.1047680832258017,0.5543710021321961,0.04797441364605544,0.3976545842217484
M1_DC,one_per,0.08,896,-0.03318080357142856,-0.18229213169642858,0.11735965401785711,5.830580357142858,0.5994149063706272,-0.012075085364886677,0.00013481320303203363,0.6329657231417168,65.88,0.3286388655148037,0.22321428571428573,0.10542457980051798,0.5546875,0.044642857142857144,0.40066964285714285
M1_DC,one_per,0.1,839,-0.025542312276519662,-0.17683730631704409,0.13379290822407627,6.007365911799762,0.6340139312136074,-0.01230489217176041,-0.0007890364838581683,0.6688485787234197,69.49000000000001,0.3255338599022663,0.21930870083432658,0.10622515906793972,0.5578069129916567,0.03933253873659118,0.4028605482717521
M2_Elo,all,0.02,1667,-0.03225554889022195,-0.12302504499100178,0.07135662867426512,5.246946610677864,0.3012913346978273,-0.01773954525570304,-0.0009680636735604868,0.33367396399586186,83.84,0.3004116632618358,0.23635272945410918,0.06405893380772665,0.36112777444511096,0.4013197360527894,0.2375524895020996
M2_Elo,all,0.03,1595,-0.015617554858934167,-0.11538636363636362,0.085892789968652,5.3367962382445135,0.31377473386110954,-0.01687479430389171,-0.0003066144479663245,0.34569968286074154,69.49999999999999,0.29820396861643217,0.23761755485893418,0.06058641375749799,0.36175548589341694,0.3987460815047022,0.2394984326018809
M2_Elo,all,0.04,1523,-0.007570584372948141,-0.1174619172685489,0.09604087327642809,5.4225738673670385,0.32693306524335464,-0.016326238993018178,-8.487231846175504e-05,0.35868438214033155,69.46,0.2966202787307409,0.23637557452396585,0.06024470420677508,0.3617859487852922,0.3959290873276428,0.242284963887065
M2_Elo,all,0.05,1439,-0.021445448227936065,-0.13130298818624045,0.08053822098679636,5.521876302988186,0.34341184751554216,-0.01667695323794006,-0.0010074070501610386,0.37620739347762044,73.0,0.29581813722098865,0.22793606671299513,0.06788207050799352,0.3676164002779708,0.3877692842251564,0.24461431549687282
M2_Elo,all,0.06,1359,-0.018940397350993385,-0.12988539367181748,0.10126195732155999,5.630596026490066,0.3604098145336302,-0.016440525066406173,-0.0013376885432860523,0.39354651102202126,67.61,0.2945664488068269,0.22590139808682855,0.06866505071999837,0.37380426784400295,0.37601177336276675,0.2501839587932303
M2_Elo,all,0.07,1305,-0.02263601532567049,-0.1360051724137931,0.09878045977011492,5.709394636015326,0.37264007486930295,-0.016119598876007356,-0.0013143774301899065,0.4058694021899109,62.919999999999995,0.29396711465059233,0.2222222222222222,0.07174489242837012,0.3816091954022989,0.3708812260536398,0.2475095785440613
M2_Elo,all,0.08,1231,-0.022014622258326556,-0.14369354183590574,0.10281397238017867,5.83471974004874,0.3905003460540073,-0.015947190666319548,-0.0015630812399417718,0.42421151589406353,71.69999999999999,0.29218657227225975,0.21770917952883834,0.07447739274342141,0.3866774979691308,0.3655564581640942,0.24776604386677498
