model,method,n,brier,brier_ci_lo,brier_ci_hi,logloss,logloss_ci_lo,logloss_ci_hi,ece
dc,uncalibrated,1224,0.608612618225521,0.5907393523775732,0.6282797163134639,1.016499637560919,0.9911244433579601,1.0450399132292119,0.026002829070941907
dc,platt,1224,0.6099838029564703,0.5951262634855866,0.6249017084471856,1.0188828831235,0.9980651155685173,1.040299516101941,0.014211111822553453
dc,isotonic,1224,0.611936771531866,0.5941169039956661,0.6309151386403268,1.0821631090648633,1.0195268410025915,1.1798627666151247,0.01671051314954938
elo,isotonic,1224,0.5957074971266321,0.5766155065764841,0.6170130290978996,1.0370936823044128,0.9820966058248869,1.1119078016421946,0.02396997427546643
elo,platt,1224,0.5976751754124253,0.5817232978200382,0.614817435226025,1.0001602182065918,0.9786507916244019,1.0240493389046421,0.027360762427138988
elo,uncalibrated,1224,0.6188876579423984,0.5930605139746732,0.6479574663934278,1.0566122966268707,1.0165502837787384,1.1011748190738442,0.07852254734372105
