cut,value,n,roi,closing_price_edge,avg_odds,avg_edge,calib_gap,model
class,all,1044,-0.02297892720306513,-0.012191084887585843,5.46036398467433,0.5229838309081061,0.09352641565695277,M1_DC
class,home_only,574,0.1192508710801394,-0.013606695011747012,4.027979094076656,0.45304357494701647,0.08649699458779853,M1_DC
class,draw_only,67,0.19194029850746264,-0.005415243865168853,4.808955223880597,0.14570561967589682,0.011160523647419734,M1_DC
class,away_only,403,-0.26129032258064516,-0.011301311034567042,7.608833746898262,0.6853246425066754,0.12094307229984977,M1_DC
odds_bucket,6.0+,293,0.019010238907849822,0.0024813447249544015,10.31334470989761,1.2046077891316875,0.11594257970747011,M1_DC
odds_bucket,3.5-6.0,361,-0.009889196675900278,-0.013161073632991559,4.514903047091412,0.3405051674166655,0.07913806042222238,M1_DC
odds_bucket,2.0-3.5,365,-0.059095890410958904,-0.022111791975052742,2.744712328767123,0.18643916379407002,0.08688916109309264,M1_DC
odds_bucket,1.0-2.0,25,-0.17679999999999998,-0.025302998985882095,1.8844,0.08289508120905971,0.13548073920675258,M1_DC
edge_bucket,>0.20,629,0.017456279809220997,-0.009739229894375943,6.871160572337043,0.7970234638440389,0.1140898008932574,M1_DC
edge_bucket,0.10-0.20,210,-0.15433333333333332,-0.019989661564497697,3.420095238095238,0.14576156919198174,0.08266868426734525,M1_DC
edge_bucket,0.05-0.10,165,-0.08884848484848482,-0.009837013206073738,3.261757575757576,0.0741059128544111,0.07402136201668585,M1_DC
edge_bucket,<=0.05,40,0.3025,-0.019514522788261608,3.05625,0.04574888897170515,0.0923713811223974,M1_DC
class,all,1042,0.11003838771593091,-0.012459534802667519,5.150374280230327,0.34034668048576366,0.05021073816461202,M2_Elo
class,home_only,530,0.1600943396226415,-0.013734693310690048,4.018490566037737,0.3369958448361261,0.06379733996356518,M2_Elo
class,draw_only,235,0.20889361702127657,-0.012667380540658165,5.124085106382978,0.26510179179137555,0.002959345679796166,M2_Elo
class,away_only,277,-0.0696028880866426,-0.009843369612487943,7.338375451263538,0.410593943075977,0.0643016344840579,M2_Elo
odds_bucket,6.0+,259,0.31135135135135134,0.008209827068177331,9.937644787644787,0.7761424677992972,0.052133384294476365,M2_Elo
odds_bucket,3.5-6.0,421,0.10836104513064133,-0.011989427887359197,4.427553444180522,0.21428806320519825,0.0220695369106112,M2_Elo
odds_bucket,2.0-3.5,315,-0.0492063492063492,-0.02524847077842721,2.668730158730159,0.18788138334636292,0.09264797338440833,M2_Elo
odds_bucket,1.0-2.0,47,0.08297872340425529,-0.04485878806924874,1.8763829787234048,0.0898389689926593,0.007269276165964844,M2_Elo
edge_bucket,>0.20,538,0.1387360594795539,-0.008333016881957256,6.777602230483272,0.5596151671075165,0.08492107552951605,M2_Elo
edge_bucket,0.05-0.10,201,0.16726368159203978,-0.017245808184498362,3.354328358208955,0.07299132743644762,0.01296309394397055,M2_Elo
edge_bucket,0.10-0.20,254,-0.053582677165354316,-0.017253632271907047,3.4498425196850393,0.144523732301501,0.061697821176466605,M2_Elo
edge_bucket,<=0.05,49,0.40836734693877547,-0.013282492647714061,3.4665306122448984,0.04465298659213458,0.1312982482334364,M2_Elo
class,all,1093,-0.03405306495882891,-0.014568174545798356,5.390786825251601,0.6043088050686364,0.11147720248941084,M3_LGBM_midweek
class,home_only,571,0.07208406304728548,-0.013663096548934637,4.067950963222417,0.5401901422023698,0.1234511964502979,M3_LGBM_midweek
class,draw_only,116,-0.09086206896551724,-0.01858964295595947,4.6425,0.18116053767364357,0.05852311490424178,M3_LGBM_midweek
class,away_only,406,-0.1670935960591133,-0.014692088833065584,7.465024630541873,0.8153850501781373,0.10976666950471411,M3_LGBM_midweek
odds_bucket,6.0+,279,0.06960573476702511,0.004219272231291306,10.469677419354838,1.5070173481249902,0.13486460926528349,M3_LGBM_midweek
odds_bucket,3.5-6.0,421,-0.06869358669833729,-0.0162489827408655,4.486555819477434,0.373166925014547,0.09793047828834597,M3_LGBM_midweek
odds_bucket,2.0-3.5,373,-0.045844504021447734,-0.025637691039324197,2.8005630026809647,0.21772003016445524,0.09767297469777114,M3_LGBM_midweek
odds_bucket,1.0-2.0,20,-0.531,-0.03482556197577881,1.8820000000000001,0.08694185653406035,0.3278302707124865,M3_LGBM_midweek
edge_bucket,>0.20,714,-0.027170868347338933,-0.012582382445384168,6.500868347338935,0.8663331098526256,0.1415690565213416,M3_LGBM_midweek
edge_bucket,<=0.05,36,-0.041111111111111126,-0.009590877451759591,3.1916666666666664,0.04575733188793176,0.00022426503009670418,M3_LGBM_midweek
edge_bucket,0.05-0.10,132,-0.2240909090909091,-0.023035908854076255,3.255075757575758,0.07555654085157341,0.10835843146911933,M3_LGBM_midweek
edge_bucket,0.10-0.20,211,0.06274881516587676,-0.016839725855696184,3.345687203791469,0.1437296500704818,0.030658941004018447,M3_LGBM_midweek
class,all,1098,-0.03927140255009109,-0.014190471247186124,5.429817850637523,0.6082500525295185,0.11144615285144896,M4_LGBM
class,home_only,571,0.07821366024518386,-0.014636307741009078,4.0827845884413305,0.5494640949499507,0.1210595421885825,M4_LGBM
class,draw_only,99,-0.004848484848484871,-0.014012330319734242,4.5310101010101,0.15971794544898837,0.03598914428300054,M4_LGBM
class,away_only,428,-0.20397196261682243,-0.013636880858973107,7.434813084112149,0.7904263618260271,0.11607465410559195,M4_LGBM
odds_bucket,6.0+,290,0.028620689655172418,0.0023933894553827563,10.364137931034485,1.4692385006538542,0.13715488925845593,M4_LGBM
odds_bucket,3.5-6.0,420,-0.06507142857142857,-0.015378019473551774,4.481666666666667,0.3800781800531895,0.09915044699538608,M4_LGBM
odds_bucket,2.0-3.5,369,-0.039214092140921426,-0.024558265754740388,2.8136314363143633,0.21787445843203077,0.0946662550005149,M4_LGBM
odds_bucket,1.0-2.0,19,-0.5063157894736843,-0.03970800679370603,1.8847368421052628,0.09215166863340488,0.3167327427729814,M4_LGBM
edge_bucket,>0.20,720,-0.027986111111111125,-0.012392865326287599,6.5253055555555575,0.8702510467653266,0.13971818222601845,M4_LGBM
edge_bucket,<=0.05,35,-0.35514285714285715,-0.025866920456810206,3.197714285714286,0.04473714099418736,0.1250563988840492,M4_LGBM
edge_bucket,0.10-0.20,202,0.06995049504950496,-0.017854716771585025,3.38980198019802,0.14532693468751334,0.03611173045607241,M4_LGBM
edge_bucket,0.05-0.10,141,-0.17496453900709222,-0.015221839649891928,3.3124822695035463,0.07344654797660936,0.07162582351127211,M4_LGBM
