season,date,home_team,away_team,y,is_promoted_match,promoted_match_idx,p0_p_away,p0_p_draw,p0_p_home,p1_p_away,p1_p_draw,p1_p_home,p2_p_away,p2_p_draw,p2_p_home,p4_p_away,p4_p_draw,p4_p_home,suppressed_p3
2021,2020-09-18,Bayern Munich,Schalke 04,2,False,0,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,0.046201974395746956,0.12410036743807983,0.8296976581661732,False
2021,2020-09-19,Dortmund,M'gladbach,2,False,0,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,0.21569847779223802,0.2351203932580941,0.5491811289496679,False
2021,2020-09-19,Ein Frankfurt,Bielefeld,1,True,1,0.3,0.26,0.44,0.27405272226795724,0.13942400774789315,0.5865232699841496,0.27405272226795724,0.13942400774789315,0.5865232699841496,0.2551913626460038,0.26184348142725805,0.4829651559267382,True
2021,2020-09-19,FC Koln,Hoffenheim,0,False,0,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,0.49557041251016243,0.23556927302063632,0.2688603144692012,False
2021,2020-09-19,Stuttgart,Freiburg,0,True,1,0.37030325796054236,0.3132144217594,0.31648232028005757,0.3509582584460731,0.2328280357108082,0.4162137058431187,0.3509582584460731,0.2328280357108082,0.4162137058431187,0.29075662440010114,0.28705856359996934,0.4221848119999296,True
2021,2020-09-19,Union Berlin,Augsburg,0,False,0,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,0.3189792882156893,0.2814045345985637,0.39961617718574705,False
2021,2020-09-19,Werder Bremen,Hertha,0,False,0,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,0.3076510638124553,0.27167666557554293,0.42067227061200185,False
2021,2020-09-20,RB Leipzig,Mainz,2,False,0,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,0.1066742612618715,0.1895174117738009,0.7038083269643276,False
2021,2020-09-20,Wolfsburg,Leverkusen,1,False,0,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,0.3902226725515434,0.2738814439570868,0.3358958834913698,False
2021,2020-09-25,Hertha,Ein Frankfurt,0,False,0,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,0.3604800662709161,0.27031875497596985,0.3692011787531141,False
