outer,alpha,train_brier
2021,0.0,0.636679918579
2021,0.1,0.628341718207
2021,0.2,0.620749495572
2021,0.3,0.613903250674
2021,0.4,0.607802983513
2021,0.5,0.602448694088
2021,0.6,0.5978403824
2021,0.7,0.593978048449
2021,0.8,0.590861692235
2021,0.9,0.588491313757
2021,1.0,0.586866913016
2122,0.0,0.635521039303
2122,0.1,0.626940171474
2122,0.2,0.619171986637
2122,0.3,0.612216484794
2122,0.4,0.606073665943
2122,0.5,0.600743530085
2122,0.6,0.59622607722
2122,0.7,0.592521307348
2122,0.8,0.589629220469
2122,0.9,0.587549816582
2122,1.0,0.586283095689
2223,0.0,0.635742157857
2223,0.1,0.627176552505
2223,0.2,0.619431818021
2223,0.3,0.612507954408
2223,0.4,0.606404961663
2223,0.5,0.601122839789
2223,0.6,0.596661588783
2223,0.7,0.593021208648
2223,0.8,0.590201699381
2223,0.9,0.588203060984
2223,1.0,0.587025293457
2324,0.0,0.628729168027
2324,0.1,0.620791297738
2324,0.2,0.613669563956
2324,0.3,0.607363966681
2324,0.4,0.601874505913
2324,0.5,0.597201181653
2324,0.6,0.593343993899
2324,0.7,0.590302942653
2324,0.8,0.588078027913
2324,0.9,0.586669249681
2324,1.0,0.586076607956
