fold,n,brier_m1_dc,brier_m2_elo,logloss_m1_dc
1819,380,0.6258784351133121,0.6381442205140899,1.0425912675007862
1920,380,0.6389385524248264,0.636679918578527,1.0622770170353517
2021,380,0.6047382758427494,0.6343621600281282,1.0107276413197726
2122,380,0.5985751462862715,0.6361843949653385,1.0023219869338162
2223,380,0.5959667186773865,0.607690198536202,1.0002718522946812
2324,380,0.5808764732494415,0.6080109176005093,0.9759387134067227
