model_a,model_b,n,brier_a,brier_b,delta_brier_a_minus_b,ci_lo_95,ci_hi_95,frac_a_wins,ci_covers_zero
M1_DC,M5_market_preclose,1520,0.5950391535139623,0.5804083107321423,0.01463084278182003,0.0067425810566153965,0.022228487986206358,0.0,False
M2_Elo,M5_market_preclose,1520,0.6215619177825444,0.5804083107321423,0.04115360705040216,0.029447031987749762,0.053919822648170426,0.0,False
M3_LGBM_dmwd,M5_market_preclose,1520,0.6054120032368356,0.5804083107321423,0.025003692504693364,0.017507065702996517,0.03198438756651929,0.0,False
M4_LGBM,M5_market_preclose,1520,0.605970279884764,0.5804083107321423,0.025561969152621766,0.017683011542587074,0.03305592254212776,0.0,False
M6_market_elo_blend,M5_market_preclose,1520,0.5804083107321423,0.5804083107321423,0.0,0.0,0.0,0.0,True
M7_market_residual,M5_market_preclose,1520,0.6262604788125611,0.5804083107321423,0.04585216808041881,0.0332343868283299,0.05827524679830572,0.0,False
M1_DC,M2_Elo,1520,0.5950391535139623,0.6215619177825444,-0.026522764268582133,-0.03833326804658582,-0.015542531240732191,1.0,False
M1_DC,M3_LGBM_dmwd,1520,0.5950391535139623,0.6054120032368356,-0.010372849722873334,-0.01784986500459327,-0.0024565430614510646,0.996,False
M1_DC,M4_LGBM,1520,0.5950391535139623,0.605970279884764,-0.010931126370801736,-0.01891951440533501,-0.002617514377341565,0.996,False
M1_DC,M6_market_elo_blend,1520,0.5950391535139623,0.5804083107321423,0.01463084278182003,0.0067425810566153965,0.022228487986206358,0.0,False
M1_DC,M7_market_residual,1520,0.5950391535139623,0.6262604788125611,-0.03122132529859878,-0.04701458726323186,-0.015825450717203086,1.0,False
M2_Elo,M3_LGBM_dmwd,1520,0.6215619177825444,0.6054120032368356,0.0161499145457088,0.0025757437330653997,0.03097761668120571,0.011,False
M2_Elo,M4_LGBM,1520,0.6215619177825444,0.605970279884764,0.015591637897780397,0.002702824873494597,0.030388291194030612,0.014,False
M2_Elo,M6_market_elo_blend,1520,0.6215619177825444,0.5804083107321423,0.04115360705040216,0.029447031987749762,0.053919822648170426,0.0,False
M2_Elo,M7_market_residual,1520,0.6215619177825444,0.6262604788125611,-0.004698561030016646,-0.022272939319519514,0.014354739563129559,0.704,True
M3_LGBM_dmwd,M4_LGBM,1520,0.6054120032368356,0.605970279884764,-0.0005582766479284018,-0.002893624183661353,0.0015308817398645507,0.689,True
M3_LGBM_dmwd,M6_market_elo_blend,1520,0.6054120032368356,0.5804083107321423,0.025003692504693364,0.017507065702996517,0.03198438756651929,0.0,False
M3_LGBM_dmwd,M7_market_residual,1520,0.6054120032368356,0.6262604788125611,-0.020848475575725445,-0.03338800935903207,-0.006883684896182727,0.998,False
M4_LGBM,M6_market_elo_blend,1520,0.605970279884764,0.5804083107321423,0.025561969152621766,0.017683011542587074,0.03305592254212776,0.0,False
M4_LGBM,M7_market_residual,1520,0.605970279884764,0.6262604788125611,-0.020290198927797043,-0.03319853147693862,-0.005946712231743226,0.998,False
M6_market_elo_blend,M7_market_residual,1520,0.5804083107321423,0.6262604788125611,-0.04585216808041881,-0.05827524679830574,-0.03323438682832991,1.0,False
