model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M1_DC,0.02,1280,-0.0694453125,-0.159230078125,0.02322304687499997,True,-0.053883606044392,-0.011895816440121207
M1_DC,0.03,1219,-0.07431501230516817,-0.1580133305988515,0.019950779327317435,True,-0.05526026063191953,-0.013327591854816604
M1_DC,0.04,1148,-0.08000871080139374,-0.18069969512195122,0.01792574041811845,True,-0.055370733279345205,-0.013447301843023366
M1_DC,0.05,1085,-0.10193548387096774,-0.19884078341013822,-0.003910368663594512,False,-0.05522450396268166,-0.013303932110803869
M1_DC,0.06,1036,-0.08748069498069501,-0.19546259652509654,0.02276158301158297,True,-0.05544316699252786,-0.013494333077962493
M1_DC,0.07,987,-0.08908814589665655,-0.194161094224924,0.013648682877406223,True,-0.055974714863106095,-0.01404000475062964
M1_DC,0.08,939,-0.08566560170394036,-0.1893069755058573,0.03333067092651756,True,-0.056622908617581034,-0.014741283037654582
M1_DC,0.1,864,-0.08327546296296298,-0.19411197916666667,0.03469560185185181,True,-0.056350892878964526,-0.014396665225601605
M2_Elo,0.02,1508,-0.06183023872679046,-0.13514389920424405,0.014312168435013256,True,-0.049944252365811,-0.007802212663492747
M2_Elo,0.03,1505,-0.059960132890365454,-0.13564385382059801,0.012068106312292355,True,-0.050081788227598234,-0.007943820787790998
M2_Elo,0.04,1498,-0.05919225634178906,-0.1338664886515354,0.011441088117489954,True,-0.050220072007817466,-0.008094031857372015
M2_Elo,0.05,1489,-0.06406984553391538,-0.14113263935527198,0.014164204163868271,True,-0.0501367484107483,-0.00800449179411972
M2_Elo,0.06,1479,-0.06024340770791075,-0.13352501690331306,0.01317072346179849,True,-0.050211847603719856,-0.008079030356390583
M2_Elo,0.07,1469,-0.05678692988427502,-0.128322838665759,0.01644656228727024,True,-0.05018792047693588,-0.008049148615575968
M2_Elo,0.08,1457,-0.059354838709677435,-0.1401751887439945,0.016356726149622452,True,-0.05046273905226714,-0.008333521990780746
M2_Elo,0.1,1421,-0.055256861365235756,-0.13133603096410978,0.019878078817733985,True,-0.05027383886637653,-0.008122153533128014
M3_LGBM_dmwd,0.02,1428,-0.139796918767507,-0.23702521008403363,-0.04409401260504202,False,-0.0542672908089168,-0.012313034284161728
M3_LGBM_dmwd,0.03,1393,-0.129102656137832,-0.2272408470926059,-0.03133740129217516,False,-0.05465288526070615,-0.012720373946081888
M3_LGBM_dmwd,0.04,1356,-0.12550884955752212,-0.22329646017699112,-0.03112352507374632,False,-0.054947815491583445,-0.013022350667557732
M3_LGBM_dmwd,0.05,1322,-0.1309001512859304,-0.228374810892587,-0.02271785173978824,False,-0.05513623454258773,-0.013212293799236023
M3_LGBM_dmwd,0.06,1288,-0.13706521739130434,-0.2401455745341615,-0.0323623835403727,False,-0.05522627806435665,-0.013302526562550487
M3_LGBM_dmwd,0.07,1253,-0.13100558659217876,-0.2299660814046289,-0.026333998403830876,False,-0.05530348026703992,-0.013358583408032287
M3_LGBM_dmwd,0.08,1211,-0.12287365813377375,-0.23132369942196532,-0.01461251032204789,False,-0.055237660602888844,-0.013292462131244196
M3_LGBM_dmwd,0.1,1124,-0.10871886120996442,-0.22549799822064057,0.005073843416370091,True,-0.05529903812450119,-0.013327542929991732
M4_LGBM,0.02,1429,-0.11290412876137157,-0.21055283414975506,-0.02391060181945417,False,-0.049692937975741085,-0.007522862655650839
M4_LGBM,0.03,1401,-0.10945039257673093,-0.20580638829407566,-0.015000892219843,False,-0.05015921940737166,-0.00800802970960647
M4_LGBM,0.04,1368,-0.1063669590643275,-0.19916282894736842,-0.013484100877192982,False,-0.05047340871812857,-0.008333557703051558
M4_LGBM,0.05,1342,-0.10277943368107303,-0.19378483606557378,-0.012577123695976222,False,-0.050054771707161064,-0.007891515891473699
M4_LGBM,0.06,1293,-0.09034802784222738,-0.18281844547563805,0.01255278422273779,True,-0.0510108848403474,-0.008874802593695264
M4_LGBM,0.07,1261,-0.09408406026962728,-0.19907890563045202,0.012086637589214909,True,-0.051044765620516595,-0.00890967023380491
M4_LGBM,0.08,1218,-0.0906568144499179,-0.198878078817734,0.019918513957307055,True,-0.05154219949779537,-0.009434270090103704
M4_LGBM,0.1,1141,-0.0852760736196319,-0.19343120070113934,0.031745836985100764,True,-0.05200526822242864,-0.00989430519902367
M7_market_residual,0.02,1426,-0.08392706872370267,-0.16386167601683027,-0.0010119214586255423,False,-0.0417378736067555,0.0008100674730751692
M7_market_residual,0.03,1406,-0.09262446657183498,-0.1730279160739687,-0.011616998577524915,False,-0.0419679613393063,0.0005791674888580423
M7_market_residual,0.04,1376,-0.09087936046511629,-0.17015879360465114,-0.0010385174418604912,False,-0.041992679986131216,0.0005621250516410605
M7_market_residual,0.05,1353,-0.09425720620842572,-0.1766818181818182,-0.01625443458980046,False,-0.04217164989369604,0.0003886165767953936
M7_market_residual,0.06,1332,-0.09118618618618617,-0.17179635885885883,-0.008178866366366375,False,-0.042339634296257714,0.0002321127801513623
M7_market_residual,0.07,1299,-0.09665896843725942,-0.1803306389530408,-0.007919938414164737,False,-0.04283841502082456,-0.00027354539814527417
M7_market_residual,0.08,1264,-0.09977848101265824,-0.17895272943037974,-0.0175634889240507,False,-0.04296695956475261,-0.000370087513461661
M7_market_residual,0.1,1201,-0.10085761865112405,-0.1904945878434638,-0.007450874271440495,False,-0.04304177326732352,-0.00042781864348350677
