season,date,home_team,away_team,y,dc_p_away,dc_p_draw,dc_p_home,elo_p_away,elo_p_draw,elo_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-08-23,M'gladbach,Leverkusen,0,0.5171854339278327,0.24176657467497603,0.24104799139719135,0.7106455825098478,0.08964857976333888,0.1997058377268134,5.33,4.58,1.6,4.94,4.38,1.67
2425,2024-08-24,Augsburg,Werder Bremen,1,0.3116153159325161,0.2817750033209001,0.40660968074658377,0.33682413638222575,0.20776980520105773,0.45540605841671655,2.32,3.55,3.11,2.57,3.61,2.77
2425,2024-08-24,Dortmund,Ein Frankfurt,2,0.15783866539615943,0.2040660614606578,0.6380952731431827,0.18389150496229933,0.08103523355461792,0.7350732614830827,1.71,4.4,4.48,1.75,4.19,4.58
2425,2024-08-24,Freiburg,Stuttgart,2,0.34341087013765204,0.2790501198342967,0.3775390100280513,0.46484075860733404,0.20211242865546408,0.3330468127372019,3.5,3.7,2.09,3.73,3.99,1.96
2425,2024-08-24,Hoffenheim,Kiel,2,0.297,0.253,0.45,0.2720501216079358,0.13779858347513144,0.5901512949169329,1.64,4.38,5.07,1.61,4.68,5.05
2425,2024-08-24,Mainz,Union Berlin,1,0.2728217318060052,0.31024667665121103,0.4169315915427838,0.2562988082394038,0.1257058615380611,0.6179953302225352,2.08,3.24,4.1,2.1,3.39,3.9
2425,2024-08-24,RB Leipzig,Bochum,2,0.0639471584581467,0.1407966485092347,0.7952561930326186,0.08863733386981806,0.05,0.8613626661301819,1.25,6.71,10.65,1.22,7.23,12.72
2425,2024-08-25,St Pauli,Heidenheim,0,0.297,0.253,0.45,0.3214109035187323,0.18650679697635586,0.49208229950491184,2.13,3.5,3.59,2.02,3.49,4.06
2425,2024-08-25,Wolfsburg,Bayern Munich,0,0.5803194216847628,0.2245450884909161,0.19513548982432105,0.6232550814080744,0.12349398175845869,0.253250936833467,6.33,5.0,1.47,6.5,4.57,1.52
2425,2024-08-30,Union Berlin,St Pauli,2,0.297,0.253,0.45,0.2902150325737358,0.15341252719979667,0.5563724402264675,1.96,3.5,4.29,1.95,3.43,4.43
2425,2024-08-31,Bochum,M'gladbach,0,0.431163888796977,0.25361246808824733,0.3152236431147757,0.3457547976516865,0.22273238706326925,0.43151281528504426,2.66,3.73,2.57,2.88,3.85,2.38
2425,2024-08-31,Ein Frankfurt,Hoffenheim,2,0.26602719793049184,0.2426344953226478,0.4913383067468603,0.2734168178281115,0.13890552898403746,0.587677653187851,1.8,4.2,4.12,1.65,4.6,4.84
2425,2024-08-31,Kiel,Wolfsburg,0,0.297,0.253,0.45,0.2943719843800697,0.1572956483676637,0.5483323672522666,3.26,3.69,2.19,3.06,3.68,2.33
2425,2024-08-31,Leverkusen,RB Leipzig,0,0.2737769752646021,0.2685228651678308,0.4577001595675671,0.22301732129194551,0.10336568966605841,0.6736169890419961,1.8,4.22,4.1,1.63,4.45,5.15
2425,2024-08-31,Stuttgart,Mainz,1,0.20577802052798477,0.260091161581382,0.5341308178906333,0.19118979107014222,0.08494802308869084,0.7238621858411669,1.66,4.23,5.09,1.67,4.21,4.97
2425,2024-08-31,Werder Bremen,Dortmund,1,0.5282378628186446,0.23945385381815837,0.23230828336319703,0.5554554211960873,0.15385203450112026,0.29069254430279257,4.05,4.14,1.83,3.88,3.94,1.93
2425,2024-09-01,Bayern Munich,Freiburg,2,0.08842533106491118,0.1516940235368188,0.7598806453982702,0.13816843094459189,0.058526434543620005,0.8033051345117881,1.21,7.89,11.45,1.19,8.1,13.69
2425,2024-09-01,Heidenheim,Augsburg,2,0.21802379192674715,0.2600144962195285,0.5219617118537244,0.23249738005097487,0.10935653163360493,0.6581460883154202,2.42,3.47,3.02,2.42,3.49,3.05
2425,2024-09-13,Dortmund,Heidenheim,2,0.13702303018767226,0.19375142590715438,0.6692255439051734,0.16268695268668104,0.07020460316449827,0.7671084441488206,1.39,5.35,7.83,1.34,5.7,8.67
2425,2024-09-14,Freiburg,Bochum,2,0.17101174812460457,0.23523183389110192,0.5937564179842936,0.19452521633291903,0.08677114017064792,0.7187036434964331,1.69,4.08,4.9,1.58,4.41,5.8
2425,2024-09-14,Hoffenheim,Leverkusen,0,0.5100213677773061,0.23890331629329076,0.25107531592940313,0.6536133573627363,0.11114286224368634,0.23524378039357746,5.95,4.96,1.49,6.84,5.37,1.43
2425,2024-09-14,Kiel,Bayern Munich,0,0.297,0.253,0.45,0.6624554284116674,0.10767149275060849,0.2298730788377242,11.8,7.52,1.21,13.19,7.77,1.2
2425,2024-09-14,M'gladbach,Stuttgart,0,0.35432494991745944,0.25663360300679605,0.38904144707574456,0.4577283848356596,0.20636458783774125,0.33590702732659916,2.84,3.96,2.31,2.7,3.86,2.51
2425,2024-09-14,RB Leipzig,Union Berlin,1,0.12045159900469468,0.22567199835700522,0.6538764026383,0.11459906387798624,0.05,0.8354009361220137,1.48,4.69,6.64,1.49,4.8,6.62
2425,2024-09-14,Wolfsburg,Ein Frankfurt,0,0.3067177005582809,0.2824419968494829,0.41084030259223614,0.3551628484851256,0.24204062620623717,0.4027965253086373,2.72,3.45,2.63,2.82,3.44,2.61
2425,2024-09-15,Augsburg,St Pauli,2,0.297,0.253,0.45,0.31791254521218304,0.18225008731764608,0.49983736747017093,2.09,3.61,3.52,2.08,3.33,4.02
